"ID","Clim","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Morni Hills","prec",64.6716049382716,40.6617283950617,40.0123456790123,9.72592592592593,26.3604938271605,96.6567901234568,371.844444444444,346.486419753086,199.906172839506,50.158024691358,11.3185185185185,21.7728395061728
"Chail WLS","prec",78.8187919463087,66.1342281879195,64.0201342281879,28.1073825503356,53.8053691275168,131.255033557047,408.275167785235,313.765100671141,179.697986577181,44.9597315436242,14.0939597315436,37.1744966442953
"Churdhar WLS","prec",100.974226804124,80.6546391752577,92.4845360824742,41.4896907216495,62.7680412371134,106.814432989691,329.525773195876,275.247422680412,192.09793814433,58.3917525773196,18.5824742268041,44.3298969072165
"All Sites","prec",76.9050802139037,56.1082887700535,58.403743315508,21.6256684491979,41.2700534759358,106.183155080214,368.125668449198,321.491978609626,193.855614973262,51.2580213903743,13.7553475935829,30.6911764705882
"Morni Hills","tmax",17.7288888672252,20.7913580717864,25.9061728300872,32.2441974686988,35.9958025096375,35.9666665677671,31.2195061766071,29.9950617283951,29.9441975016653,28.3777777919063,24.0081481368453,20.0281481566253
"Chail WLS","tmax",12.7926174202221,15.2228188162682,19.6865772016897,25.1362416312198,28.9046979686558,29.5107381935888,25.9328859572443,25.013422780389,24.8194630642065,22.897315441362,18.8248321866029,15.1899329191886
"Churdhar WLS","tmax",5.99226803755023,7.56082474570913,11.5293814447737,16.5747422532937,20.2376287991239,21.6036082198939,19.4628866235005,18.8979381826735,18.3304124025954,15.8896907285317,12.1927835228517,8.91443300984569
"All Sites","tmax",13.7016042595241,16.2506684804345,20.9385026731593,26.7643047794301,30.496256685512,30.9554812104944,27.1172460081743,26.1245989327762,25.9112299342844,24.0471925238237,19.9112299393843,16.1819518881048
"Morni Hills","tmin",6.12617283573857,8.68049382810239,13.0782716091768,18.3165432776934,22.4997530760588,24.216049335621,23.560493841289,23.093333336159,21.4493826925019,16.3530863985603,10.7079012670635,7.03086420459512
"Chail WLS","tmin",3.01610737598982,5.17718121349411,9.06711410356048,13.80134229212,17.4798658166156,19.2208053153633,18.8946308673628,18.4637584942299,16.7919462383193,12.379194675676,7.58590607355105,4.41543626465253
"Churdhar WLS","tmin",-2.00412370671624,-0.603092777821207,3.06134019961062,7.6634020608725,10.9835051924912,12.9907216583331,13.0649484260795,12.9386597810332,11.3510309322593,7.44123713257386,3.22525773930949,0.163402066863689
"All Sites","tmin",3.3979946502589,5.57486631322831,9.68128342496201,14.6541444235307,18.5129679275706,20.3096256345351,19.9089572187413,19.5374331742047,17.9025400813251,13.250133692262,8.14532088174579,4.72874332522167
"Morni Hills","abstmin",6.12617283573857,8.68049382810239,13.0782716091768,18.3165432776934,22.4997530760588,24.216049335621,23.560493841289,23.093333336159,21.4493826925019,16.3530863985603,10.7079012670635,7.03086420459512
"Chail WLS","abstmin",3.01610737598982,5.17718121349411,9.06711410356048,13.80134229212,17.4798658166156,19.2208053153633,18.8946308673628,18.4637584942299,16.7919462383193,12.379194675676,7.58590607355105,4.41543626465253
"Churdhar WLS","abstmin",-2.00412370671624,-0.603092777821207,3.06134019961062,7.6634020608725,10.9835051924912,12.9907216583331,13.0649484260795,12.9386597810332,11.3510309322593,7.44123713257386,3.22525773930949,0.163402066863689
"All Sites","abstmin",3.3979946502589,5.57486631322831,9.68128342496201,14.6541444235307,18.5129679275706,20.3096256345351,19.9089572187413,19.5374331742047,17.9025400813251,13.250133692262,8.14532088174579,4.72874332522167
