"given_name","powo_taxa","powo_author","powo_dist","Bhardwaj2017","Champion1968","eFI2022","FOI2022","Kumar2013"
"Orobanche epithymum","Orobanche alba","Stephan ex Willd.","Native",1,0,0,0,0
"Osmunda claytoniana","Osmunda pilosa","Wall. ex Grev. & Hook.","Native",1,0,0,0,0
"Osyris lanceolata","Osyris lanceolata","Hochst. & Steud.","Native",0,0,0,0,1
"Desmodium floribundum","Ototropis multiflora","(DC.) H.Ohashi & K.Ohashi","Native",1,0,0,0,1
"Desmodium multiflorum","Ototropis multiflora","(DC.) H.Ohashi & K.Ohashi","Native",1,0,0,0,0
"Ougeinia oojeinensis","Ougeinia oojeinensis","(Roxb.) Hochr.","Native",0,1,0,0,0
"Aerva sanguinolenta","Ouret sanguinolenta","(L.) Kuntze","Native",1,0,0,0,0
"Oxalis corniculata","Oxalis corniculata","L.","Introduced",1,1,0,0,0
"Oxalis corymbosa","Oxalis debilis","Kunth","Introduced",1,0,0,0,0
"Oxalis dehradunensis","Oxalis dehradunensis","Raizada",NA,1,0,0,0,0
"Oxyria digyna","Oxyria digyna","(L.) Hill","Native",1,0,0,0,0
"Parnassia nubicola","Parnassia nubicola","Wall. ex Royle","Native",1,0,0,0,0
"Parthenium hysterophorus","Parthenium hysterophorus","L.","Introduced",1,0,0,0,0
"Parthenocissus himalayana","Parthenocissus semicordata","(Wall.) Planch.","Native",1,0,0,0,0
"Parthenocissus semicordata","Parthenocissus semicordata","(Wall.) Planch.","Native",1,0,0,1,1
"Vitis himalayana","Parthenocissus semicordata","(Wall.) Planch.","Native",0,1,0,0,0
"Habenaria susannae","Pecteilis susannae","(L.) Raf.",NA,0,1,0,0,0
"Pedicularis carnosa","Pedicularis bifida","(Buch.-Ham. ex D.Don) Pennell","Native",0,1,0,0,0
"Persicaria capitata","Persicaria capitata","(Buch.-Ham. ex D.Don) H.Gross","Native",1,0,0,0,0
"Polygonum hydropiper","Persicaria hydropiper","(L.) Delarbre","Native",1,0,0,0,0
"Polygonum pubescens","Persicaria pubescens","(Blume) H.Hara","Native",1,0,0,0,0
"Bauhinia vahlii","Phanera vahlii","(Wight & Arn.) Benth.","Native",1,0,0,0,0
"Phlomis bracteosa","Phlomoides bracteosa","(Royle ex Benth.) Kamelin & Makhm.","Native",1,0,0,0,0
"Emblica officinalis","Phyllanthus emblica","L.","Native",0,1,0,0,0
"Picea smithiana","Picea smithiana","(Wall.) Boiss.","Native",0,1,0,0,0
"Pilea scripta","Pilea scripta","(Buch.-Ham. ex D.Don) Wedd.","Native",1,0,0,0,0
"Pinus roxburghii","Pinus roxburghii","Sarg.","Native",1,1,0,0,1
"Pinus wallichiana","Pinus wallichiana","A.B.Jacks.","Native",1,1,0,0,1
"Pistacia integerrima","Pistacia chinensis","Bunge","Native",1,0,0,0,0
"Plantago depressa","Plantago depressa","Willd.","Native",1,0,0,0,0
"Plantago lanceolata","Plantago lanceolata","L.","Native",1,0,0,0,0
"Agrostis alba","Poa nemoralis","L.","Native",0,1,0,0,0
"Polygala tatarinowii","Polygala tatarinowii","Regel","Native",1,0,0,0,0
"Polystichum neolobatum","Polystichum neolobatum","Nakai","Native",1,0,0,0,0
"Polystichum squarrosum","Polystichum squarrosum","(D.Don) Fée","Native",1,0,0,0,1
"Populus ciliata","Populus ciliata","Wall. ex Royle","Native",1,0,0,0,0
"Duchesnea indica","Potentilla indica","(Andrews) Th.Wolf","Native",1,0,0,0,0
"Fragaria indica","Potentilla indica","(Andrews) Th.Wolf","Native",0,1,0,0,0
"Potentilla indica","Potentilla indica","(Andrews) Th.Wolf","Native",0,0,0,0,1
"Potentilla sundaica","Potentilla sundaica","(Blume) W.Theob.","Native",1,0,0,0,0
"Primula denticulata","Primula denticulata","Sm.","Native",1,0,0,0,0
"Prinsepia utilis","Prinsepia utilis","Royle","Native",1,0,0,0,0
"Prunus cerasoides","Prunus cerasoides","Buch.-Ham. ex D.Don","Native",1,0,0,0,0
"Gnaphalium hypoleucum","Pseudognaphalium hypoleucum","(DC.) Hilliard & B.L.Burtt","Native",1,0,0,0,0
"Pteridium aquilinum","Pteridium revolutum","(Blume) Nakai","Native",1,0,0,0,0
"Pteris cretica","Pteris cretica","L.","Native",1,0,0,0,1
"Pteris dactylina","Pteris dactylina","Hook.","Native",1,0,0,0,0
"Pueraria tuberosa","Pueraria tuberosa","(Roxb. ex Willd.) DC.","Native",1,0,0,0,0
"Punica granatum","Punica granatum","L.","Introduced",1,0,0,0,0
"Crataegus crenulata","Pyracantha crenulata","(D.Don) M.Roem.","Native",0,1,0,0,0
"Pyracantha crenulata","Pyracantha crenulata","(D.Don) M.Roem.","Native",1,0,0,0,0
"Pyrus pashia","Pyrus pashia","Buch.-Ham. ex D.Don","Native",1,1,0,0,1
"Quercus dilatata","Quercus floribunda","Lindl. ex A.Camus","Native",0,1,0,0,0
"Quercus glauca","Quercus glauca","Thunb.","Native",0,1,0,0,0
"Quercus lanuginosa","Quercus lanata","Sm.","Native",0,1,0,0,0
"Quercus incana","Quercus leucotrichophora","A.Camus","Native",0,1,0,0,0
"Quercus leucotrichophora","Quercus leucotrichophora","A.Camus","Native",1,0,0,0,0
"Ranunculus diffusus","Ranunculus diffusus","DC.","Native",1,0,0,0,0
"Ranunculus hirtellus","Ranunculus hirtellus","Royle","Native",1,0,0,0,0
"Raphanus sativus","Raphanus raphanistrum","L.","Introduced",1,0,0,0,0
"Reinwardtia indica","Reinwardtia indica","Dumort.","Native",0,1,0,0,0
"Gonatanthus pumilus","Remusatia pumila","(D.Don) H.Li & A.Hay","Native",1,0,0,0,0
"Rhamnus purpurea","Rhamnus purpurea","Edgew.","Native",0,1,0,0,0
"Rhodiola sinuata","Rhodiola sinuata","(Royle ex Edgew.) S.H.Fu","Native",1,0,0,0,0
"Rhodiola trifida","Rhodiola sinuata","(Royle ex Edgew.) S.H.Fu","Native",1,0,0,0,0
"Rhododendron arboreum","Rhododendron arboreum","Sm.","Native",1,1,0,0,1
"Rhus semialata","Rhus chinensis","Mill.","Native",0,1,0,0,0
"Rhynchosia rothii","Rhynchosia rothii","Benth. ex Aitch.","Native",0,0,0,0,1
"Rhynchosia sericea","Rhynchosia rothii","Benth. ex Aitch.","Native",1,0,0,0,0
"Ricinus communis","Ricinus communis","L.","Introduced",1,0,0,0,0
"Robinia pseudoacacia","Robinia pseudoacacia","L.","Introduced",1,0,0,0,0
"Rosa brunonii","Rosa brunonii","Lindl.","Native",1,0,0,0,0
"Rosa macrophylla","Rosa macrophylla","Lindl.","Native",0,1,0,0,0
"Rosa moschata","Rosa moschata","Herrm.","Introduced",0,1,0,0,1
"Roscoea purpurea","Roscoea purpurea","Sm.","Native",0,0,0,0,1
"Justicia simplex","Rostellularia mollissima","(Nees) Nees","Native",1,0,0,0,0
"Justicia japonica","Rostellularia procumbens","(L.) Nees","Native",0,0,0,0,1
"Rubia cordifolia","Rubia cordifolia","L.","Native",1,0,0,0,1
"Rubus biflorus","Rubus biflorus","Buch.-Ham. ex Sm.","Native",0,1,0,0,0
"Rubus ellipticus","Rubus ellipticus","Sm.","Native",1,1,0,0,1
"Rubus lasiocarpus","Rubus niveus","Thunb.","Native",0,1,0,0,0
"Rubus niveus","Rubus niveus","Thunb.","Native",1,1,0,0,1
"Rubus paniculatus","Rubus paniculatus","Sm.","Native",1,0,0,0,0
"Rumex obtusifolius","Rumex dentatus","L.","Native",1,0,0,0,0
"Rumex hastatus","Rumex hastatus","D.Don","Native",1,0,0,0,0
"Rumex nepalensis","Rumex nepalensis","Spreng.","Native",1,0,0,0,1
"Salix tetrasperma","Salix tetrasperma","Roxb.",NA,1,0,0,0,0
"Salvia lanata","Salvia cana","Wall. ex Benth.","Native",1,0,0,0,0
"Salvia coccinea","Salvia coccinea","Buc'hoz ex Etl.",NA,1,0,0,0,0
"Salvia glutinosa","Salvia glutinosa","L.",NA,1,0,0,0,1
"Salvia nubicola","Salvia nubicola","Wall. ex Sweet","Native",1,0,0,0,1
"Meriandra strobilifera","Salvia strobilifera","(Benth.) J.G.González","Native",1,0,0,0,1
"Sarcococca pruniformis","Sarcococca coriacea","(Hook.) Sweet","Native",0,0,0,0,1
"Sarcococca saligna","Sarcococca saligna","(D.Don) Müll.Arg.","Native",1,1,0,0,0
"Satyrium nepalense","Satyrium nepalense","D.Don","Native",1,0,0,0,0
"Saxifraga diversifolia","Saxifraga diversifolia","Wall. ex Ser.","Native",1,0,0,0,0
"Stellaria monosperma","Schizotechium monospermum","(Buch.-Ham. ex D.Don) Pusalkar & S.K.Srivast.","Native",1,0,0,0,0
"Loranthus cordifolius","Scurrula cordifolia","(Wall.) G.Don","Native",0,1,0,0,0
"Scutellaria grossa","Scutellaria grossa","Wall.","Native",1,0,0,0,0
"Scutellaria repens","Scutellaria repens","Buch.-Ham. ex D.Don","Native",1,0,0,0,0
"Rhus parviflora","Searsia parviflora","(Roxb.) F.A.Barkley","Native",0,1,0,0,0
"Sehima notata","Sehima notata","(Hack.) A.Camus","Native",0,1,0,0,0
"Acacia catechu","Senegalia catechu","(L.f.) P.J.H.Hurter & Mabb.","Native",1,1,0,0,0
"Cassia floribunda","Senna septemtrionalis","(Viv.) H.S.Irwin & Barneby","Introduced",1,0,0,0,1
"Setaria viridis","Setaria viridis","(L.) P.Beauv.","Native",1,0,0,0,0
"Shorea robusta","Shorea robusta","C.F.Gaertn.","Native",0,1,0,0,0
"Sigesbeckia orientalis","Sigesbeckia orientalis","L.","Native",1,0,0,0,0
"Silene edgeworthii","Silene edgeworthii","Bocquet","Native",1,0,0,0,0
"Sisymbrium irio","Sisymbrium irio","L.","Native",1,0,0,0,0
"Smilax aspera","Smilax aspera","L.","Native",1,0,0,0,0
"Smilax glaucophylla","Smilax elegans","Wall. ex Kunth","Native",1,0,0,0,0
"Smilax parvifolia","Smilax elegans","Wall. ex Kunth","Native",0,1,0,0,0
"Solanum incanum","Solanum incanum","L.",NA,1,0,0,0,0
"Solanum nigrum","Solanum nigrum","L.","Native",1,0,0,0,0
"Solanum pseudocapsicum","Solanum pseudocapsicum","L.","Introduced",1,0,0,0,1
"Solanum virginianum","Solanum virginianum","L.","Native",1,0,0,0,0
"Sonchus asper","Sonchus asper","(L.) Hill","Native",1,0,0,0,0
"Sonchus wightianus","Sonchus wightianus","DC.","Native",1,0,0,0,0
"Sopubia trifida","Sopubia trifida","Buch.-Ham. ex D.Don","Native",1,0,0,0,0
"Spiraea vacciniifolia","Spiraea vacciniifolia","D.Don","Native",1,0,0,0,0
"Sporobolus elongatus","Sporobolus fertilis","(Steud.) Clayton","Native",0,1,0,0,0
"Stellaria media","Stellaria media","(L.) Vill.","Native",1,0,0,0,0
"Strobilanthes atropurpurea","Strobilanthes atropurpurea","Nees","Native",1,0,0,0,0
"Goldfussia dalhousieana","Strobilanthes pentastemonoides","(Nees) T.Anderson","Native",1,0,0,0,0
"Strobilanthes dalhousieana","Strobilanthes pentastemonoides","(Nees) T.Anderson","Native",0,1,0,0,0
"Aechmanthera tomentosa","Strobilanthes tomentosa","(Nees) J.R.I.Wood","Native",0,1,0,0,0
"Strobilanthes alata","Strobilanthes wallichii","Nees","Native",0,1,0,0,0
"Strobilanthes wallichii","Strobilanthes wallichii","Nees","Native",0,1,0,0,1
"Desmodium elegans","Sunhangia elegans","(DC.) H.Ohashi & K.Ohashi","Native",1,0,0,0,0
"Desmodium tiliifolium","Sunhangia elegans","(DC.) H.Ohashi & K.Ohashi","Native",0,1,0,0,0
"Swertia alata","Swertia alata","(D.Don ex G.Don) Royle ex C.B.Clarke","Native",1,0,0,0,0
"Swertia angustifolia","Swertia angustifolia","Buch.-Ham. ex D.Don","Native",1,0,0,0,0
"Swertia cordata","Swertia cordata","(G.Don) Wall. ex C.B.Clarke","Native",1,0,0,0,0
"Swertia paniculata","Swertia paniculata","Wall.","Native",1,0,0,0,0
"Symplocos crataegoides","Symplocos paniculata","(Thunb.) Miq.","Native",0,1,0,0,0
"Syzygium cumini","Syzygium cumini","(L.) Skeels","Native",1,1,0,0,0
"Tagetes erecta","Tagetes erecta","L.",NA,1,0,0,0,0
"Tagetes minuta","Tagetes minuta","L.","Introduced",1,0,0,0,0
"Taraxacum campylodes","Taraxacum campylodes","G.E.Haglund",NA,0,0,0,0,1
"Taraxacum officinale","Taraxacum officinale","F.H.Wigg.","Introduced",1,0,0,0,0
"Taxus wallichiana","Taxus wallichiana","Zucc.","Native",0,1,0,0,0
"Anogeissus latifolia","Terminalia anogeissiana","Gere & Boatwr.","Native",0,1,0,0,0
"Terminalia bellirica","Terminalia bellirica","(Gaertn.) Roxb.","Native",0,1,0,0,0
"Terminalia chebula","Terminalia chebula","Retz.","Native",0,1,0,0,0
"Terminalia tomentosa","Terminalia elliptica","Willd.","Native",0,1,0,0,0
"Teucrium quadrifarium","Teucrium quadrifarium","Buch.-Ham. ex D.Don","Native",0,1,0,0,0
"Thalictrum foetidum","Thalictrum foetidum","L.","Native",1,0,0,0,0
"Thalictrum foliolosum","Thalictrum foliolosum","DC.","Native",1,0,0,0,0
"Themeda anathera","Themeda anathera","(Nees ex Steud.) Hack.","Native",1,1,0,0,1
"Theropogon pallidus","Theropogon pallidus","(Wall. ex Kunth) Maxim.","Native",1,0,0,0,0
"Thymus mongolicus","Thymus mongolicus","(Ronniger) Ronniger",NA,1,0,0,0,1
"Tinospora cordifolia","Tinospora cordifolia","(Willd.) Hook.f. & Thomson",NA,1,0,0,0,0
"Toona ciliata","Toona ciliata","M.Roem.",NA,1,0,0,0,0
"Cedrela serrata","Toona sinensis","(A.Juss.) M.Roem.",NA,0,1,0,0,0
"Rhus wallichii","Toxicodendron wallichii","(Hook.f.) Kuntze","Native",1,0,0,0,0
"Tridax procumbens","Tridax procumbens","L.","Introduced",1,0,0,0,0
"Trifolium repens","Trifolium repens","L.","Native",1,0,0,0,0
"Ulmus villosa","Ulmus villosa","Brandis ex Gamble","Native",1,0,0,0,0
"Urochloa panicoides","Urochloa panicoides","P.Beauv.","Native",1,0,0,0,1
"Urtica parviflora","Urtica ardens","Link","Native",1,0,0,0,0
"Urtica dioica","Urtica dioica","L.","Native",1,0,0,0,0
"Valeriana jatamansi","Valeriana jatamansi","Jones ex Roxb.","Native",1,0,0,0,0
"Verbascum thapsus","Verbascum thapsus","L.","Native",1,0,0,0,1
"Veronica persica","Veronica persica","Poir.","Introduced",1,0,0,0,0
"Viburnum coriaceum","Viburnum coriaceum","Blume","Native",0,1,0,0,0
"Viburnum cotinifolium","Viburnum cotinifolium","D.Don","Native",0,1,0,0,0
"Viburnum cylindricum","Viburnum cylindricum","Buch.-Ham. ex D.Don","Native",1,0,0,0,1
"Viburnum mullaha","Viburnum mullaha","Buch.-Ham. ex D.Don","Native",1,0,0,0,0
"Vicia hirsuta","Vicia hirsuta","(L.) Gray","Native",1,0,0,0,0
"Vicia sativa","Vicia sativa","L.","Native",1,0,0,0,0
"Vinca major","Vinca major","L.","Native",1,0,0,1,0
"Vincetoxicum hirundinaria","Vincetoxicum hirundinaria","Medik.","Native",1,0,0,0,0
"Viola patrinii","Viola betonicifolia","Sm.","Native",0,0,0,0,1
"Viola canescens","Viola canescens","Wall.","Native",1,1,0,0,1
"Viola pilosa","Viola pilosa","Blume","Native",0,0,0,0,1
"Vitex negundo","Vitex negundo","L.","Native",1,0,0,0,0
"Daphne cannabina","Wikstroemia indica","(L.) C.A.Mey.","Native",0,1,0,0,0
"Woodfordia fruticosa","Woodfordia fruticosa","(L.) Kurz","Native",1,1,0,0,1
"Woodsia elongata","Woodsia elongata","Hook.","Native",1,0,0,0,1
"Crepis japonica","Youngia japonica","(L.) DC.","Native",1,0,0,0,0
"Arundinaria jaunsarensis","Yushania anceps","(Mitford) W.C.Lin","Native",0,1,0,0,0
"Zanthoxylum armatum","Zanthoxylum armatum","DC.","Native",1,0,0,0,0
"Ziziphus jujuba","Ziziphus jujuba","Mill.","Introduced",0,0,0,0,1
"Ziziphus nummularia","Ziziphus nummularia","(Burm.f.) Wight & Arn.",NA,1,0,0,0,0
"Ziziphus oxyphylla","Ziziphus oxyphylla","Edgew.","Native",1,0,0,0,0
