"given_name","powo_taxa","powo_author","powo_dist","Bhardwaj2017","Champion1968","eFI2022","FOI2022","Kumar2013"
"Capillipedium parviflorum","Capillipedium parviflorum","(R.Br.) Stapf","Native",0,1,0,0,0
"Capparis leucophylla","Capparis spinosa","L.","Native",1,0,0,0,0
"Capsella bursa-pastoris","Capsella bursa-pastoris","(L.) Medik.","Native",1,0,0,0,0
"Carduus edelbergii","Carduus edelbergii","Rech.f.","Native",1,0,0,0,0
"Carex nubigena","Carex nubigena","D.Don","Native",1,0,0,0,1
"Carissa opaca","Carissa spinarum","L.","Native",1,1,0,0,0
"Carpesium abrotanoides","Carpesium abrotanoides","L.","Native",1,0,0,0,0
"Carpesium cernuum","Carpesium cernuum","L.","Native",1,0,0,0,1
"Carpinus viminea","Carpinus viminea","Lindl. ex Wall.","Native",0,1,0,0,0
"Cassia fistula","Cassia fistula","L.","Native",0,1,0,0,0
"Castanopsis tribuloides","Castanopsis tribuloides","(Sm.) A.DC.","Native",0,1,0,0,0
"Catharanthus roseus","Catharanthus roseus","(L.) G.Don",NA,1,0,0,0,0
"Cedrus deodara","Cedrus deodara","(Roxb. ex D.Don) G.Don","Native",1,1,0,0,1
"Celtis australis","Celtis australis","L.",NA,1,0,0,0,0
"Celtis tetrandra","Celtis tetrandra","Roxb.","Native",0,1,0,0,0
"Pennisetum glaucum","Cenchrus americanus","(L.) Morrone","Introduced",1,0,0,0,1
"Cenchrus ciliaris","Cenchrus ciliaris","L.","Introduced",1,0,0,0,1
"Cassia mimosoides","Chamaecrista mimosoides","(L.) Greene","Native",1,0,0,0,0
"Chamaecrista mimosoides","Chamaecrista mimosoides","(L.) Greene","Native",0,0,0,0,1
"Chenopodium album","Chenopodium album","L.","Native",1,0,0,0,0
"Chromolaena odorata","Chromolaena odorata","(L.) R.M.King & H.Rob.","Introduced",1,0,0,0,0
"Jasminum humile","Chrysojasminum humile","(L.) Banfi","Native",1,0,0,0,0
"Chrysopogon fulvus","Chrysopogon fulvus","(Spreng.) Chiov.","Native",1,1,0,0,1
"Cirsium argyracanthum","Cirsium argyracanthum","DC.","Native",0,0,0,0,1
"Cirsium wallichii","Cirsium wallichii","DC.","Native",1,0,0,0,0
"Cissampelos pareira","Cissampelos pareira","L.","Native",1,0,0,0,0
"Clematis buchananiana","Clematis buchananiana","DC.","Native",1,0,0,0,0
"Clematis grata","Clematis grata","Wall.","Native",1,0,0,0,0
"Clematis montana","Clematis montana","Buch.-Ham. ex DC.","Native",0,1,0,0,0
"Colebrookea oppositifolia","Colebrookea oppositifolia","Sm.","Native",1,1,0,0,0
"Commelina benghalensis","Commelina benghalensis","L.","Native",1,0,0,0,0
"Commelina obliqua","Commelina paludosa","Blume","Native",0,0,0,0,1
"Coniogramme affinis","Coniogramme affinis","Hieron.","Native",1,0,0,0,0
"Aster thomsonii","Cordiofontis flexuosa","(Royle ex Lindl.) G.L.Nesom","Native",1,0,0,0,0
"Coriaria nepalensis","Coriaria nepalensis","Wall.","Native",1,1,0,0,1
"Benthamidia capitata","Cornus capitata","Wall.","Native",0,1,0,0,0
"Cornus capitata","Cornus capitata","Wall.","Native",1,0,0,0,0
"Cotinus coggygria","Cotinus coggygria","Scop.","Native",1,0,0,0,0
"Cotoneaster bacillaris","Cotoneaster affinis","Lindl.","Native",1,0,0,0,0
"Cotoneaster microphyllus","Cotoneaster microphyllus","Wall. ex Lindl.","Native",1,0,0,0,0
"Craniotome furcata","Craniotome furcata","(Link) Kuntze","Native",1,0,0,0,0
"Crepidium acuminatum","Crepidium acuminatum","(D.Don) Szlach.","Native",1,0,0,0,0
"Crotalaria cytisoides","Crotalaria cytisoides","Roxb. ex DC.","Native",0,0,1,0,0
"Cuscuta pentagona","Cuscuta campestris","Yunck.","Introduced",1,0,0,0,0
"Cuscuta reflexa","Cuscuta reflexa","Roxb.","Native",1,0,0,0,0
"Cyanotis vaga","Cyanotis vaga","(Lour.) Schult. & Schult.f.","Native",1,0,0,0,0
"Cyathula tomentosa","Cyathula tomentosa","(Schult.) Moq.","Native",1,0,0,0,0
"Cymbalaria muralis","Cymbalaria muralis","G.Gaertn., B.Mey. & Scherb.","Introduced",1,0,0,0,0
"Cynoglossum wallichii","Cynoglossum wallichii","G.Don","Native",1,0,0,0,0
"Cyperus niveus","Cyperus niveus","Retz.","Native",1,0,0,0,1
"Cyperus rotundus","Cyperus rotundus","L.","Native",1,0,0,0,1
"Dalbergia sissoo","Dalbergia sissoo","Roxb. ex DC.","Native",1,0,0,0,0
"Daphne papyracea","Daphne papyracea","Wall. ex G.Don","Native",1,1,0,0,1
"Dasiphora fruticosa","Dasiphora fruticosa","(L.) Rydb.","Native",0,0,0,0,1
"Datura stramonium","Datura stramonium","L.","Introduced",1,0,0,0,0
"Debregeasia saeneb","Debregeasia saeneb","(Forssk.) Hepper & J.R.I.Wood","Native",1,0,0,0,0
