"verbatimScientificName","taxon_name","taxon_authors","LL","UL","IUCN"
"Solanum incanum L.","Solanum incanum","L.",643.5,856.5,"LC"
"Taxus wallichiana Zucc.","Taxus wallichiana","Zucc.",850,2650,"EN"
"Corchorus olitorius L.","Corchorus olitorius","L.",409.5,809.5,"NE"
"Lecanthus peduncularis (Wall. ex Royle) Wedd.","Lecanthus peduncularis","(Royle) Wedd.",1400,1800,"NE"
"Typha domingensis Pers.","Typha domingensis","Pers.",650,1050,"LC"
"Hyoscyamus niger L.","Hyoscyamus niger","L.",500,3000,"NE"
"Vitis jacquemontii R. N. Parker","Vitis heyneana","Schult.",450,1350,"NE"
"Elatostema subincisum Wedd.","Elatostema subincisum","Wedd.",450,2550,"NE"
"Parietaria debilis Forst. fil.","Parietaria debilis","G.Forst.",1400,2600,"NE"
"Cestrum fasciculatum (Schltdl.) Miers","Cestrum fasciculatum","(Schltdl.) Miers",700,800,"LC"
"Debregeasia longifolia (Burm. fil.) Wedd.","Debregeasia longifolia","(Burm.f.) Wedd.",1200,1300,"LC"
"Zingiber officinale Roscoe","Zingiber officinale","Roscoe",550,950,"DD"
"Leea asiatica (L.) Ridsdale","Leea asiatica","(L.) Ridsdale",925,1075,"NE"
"Viola arcuata Blume","Viola hamiltoniana","D.Don",NA,NA,"NE"
"Boehmeria macrophylla Thunb.","Boehmeria penduliflora","Wedd. ex D.G.Long",1200,1300,"NE"
"Boehmeria macrophylla Thunb.","Boehmeria japonica var. japonica",NA,1200,1300,"NE"
"Boehmeria macrophylla Thunb.","Boehmeria virgata subsp. macrophylla","(Hornem.) Friis & Wilmot-Dear",1200,1300,"NE"
"Ulmus brandisiana C. K. Schneid.","Ulmus × brandisiana","C.K.Schneid.",564.5,1935.5,"NE"
"Physochlaina praealta (Decne.) Miers","Physochlaina praealta","(Decne.) Miers",1300,3300,"NE"
"Gonostegia hirta (Bl.) Miq.","Gonostegia triandra","(Blume) Miq.",1200,1300,"NE"
"Duranta erecta L.","Duranta erecta","L.",725,925,"LC"
"Withania coagulans (Stocks) Dun.","Withania coagulans","(Stocks) Dunal",893.5,1106.5,"NE"
"Viola biflora L.","Viola biflora","L.",2100,2400,"NE"
"Pouzolzia zeylanica (L.) Benn. & R. Br.","Pouzolzia zeylanica","(L.) Benn.",1200,1300,"NE"
"Costus speciosus (J.Koenig) Sm.","Hellenia speciosa","(J.Koenig) S.R.Dutta",250,650,"NE"
"Daphne oleoides Schreb.","Daphne oleoides","Schreb.",900,2600,"NE"
"Solanum viarum Dunal","Solanum viarum","Dunal",1250,1350,"LC"
"Vitis flexuosa Thunb.","Vitis flexuosa","Thunb.",900,1300,"NE"
"Solanum indicum Schumach. & Thonn.","Solanum melongena","L.",655.5,868.5,"NE"
"Solanum indicum Schumach. & Thonn.","Solanum violaceum","Ortega",655.5,868.5,"NE"
"Solanum tuberosum L.","Solanum tuberosum","L.",1200,1600,"NE"
"Lantana camara L.","Lantana camara","L.",893.5,1106.5,"NE"
"Physalis angulata L.","Physalis angulata","L.",800,900,"LC"
"Corchorus capsularis L.","Corchorus capsularis","L.",400,800,"NE"
"Daphne papyracea Wall. ex Steud.","Daphne papyracea","Wall. ex G.Don",1200,2200,"NE"
"Scrophularia koelzii Pennell","Scrophularia koelzii","Pennell",250,2050,"NE"
"Scrophularia decomposita Royle ex Benth.","Scrophularia decomposita","Royle ex Benth.",1000,2500,"NE"
"Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & Presl","Brugmansia suaveolens","(Humb. & Bonpl. ex Willd.) Sweet",700,1100,"NE"
"Pilea microphylla (L.) Liebm.","Pilea microphylla","(L.) Liebm.",550,950,"NE"
"Nicotiana rustica L.","Nicotiana rustica","L.",100,1400,"NE"
"Tropaeolum majus L.","Tropaeolum majus","L.",0,1980,"NE"
"Urtica dioica L.","Urtica dioica","L.",1750,2750,"LC"
"Symplocos cochinchinensis (Lour.) S. Moore","Symplocos cochinchinensis","(Lour.) S.Moore",1200,1300,"NE"
"Cheilocostus speciosus (J.Koenig) C.D.Specht","Hellenia speciosa","(J.Koenig) S.R.Dutta",675,825,"LC"
"Tilia cordata Mill.","Tilia cordata","Mill.",250,2250,"LC"
"Staphylea emodi Wall.","Staphylea emodi","Wall. ex Brandis",600,2400,"NE"
"Ampelocissus divaricata (Wall. ex Lawson) Planch.","Ampelocissus divaricata","(Wall. ex M.A.Lawson) Planch.",1100,1400,"NE"
"Pilea symmeria Wedd.","Pilea symmeria","Wedd.",1600,1700,"NE"
"Smilax ovalifolia Roxb. ex D.Don","Smilax ovalifolia","Roxb. ex D.Don",950,1050,"NE"
"Verbena officinalis L.","Verbena officinalis","L.",1085,1385,"NE"
"Datura innoxia P. Miller","Datura innoxia","Mill.",1050,1450,"NE"
"Solanum anguivi Lam.","Solanum anguivi","Lam.",1025,1275,"LC"
"Capsicum annuum L.","Capsicum annuum","L.",1150,1350,"LC"
"Solanum americanum Mill.","Solanum americanum","Mill.",1350,1550,"NE"
"Glandularia aristigera (S.Moore) Tronc.","Verbena aristigera","S.Moore",400,1400,"NE"
"Saxifraga melanocentra Franch.","Micranthes melanocentra","(Franch.) Losinsk.",1000,4600,"NE"
"Solanum asperolanatum Ruiz & Pav.","Solanum asperolanatum","Ruiz & Pav.",550,950,"LC"
"Corchorus tridens L.","Corchorus tridens","L.",325,475,"NE"
"Saxifraga diversifolia Wall.","Saxifraga diversifolia","Wall. ex Ser.",1400,3400,"NE"
"Saxifraga diversifolia Wall.","Saxifraga rosacea subsp. rosacea",NA,1400,3400,"NE"
"Solanum jasminoides Paxton","Solanum laxum","Spreng.",NA,NA,"NE"
"Solanum dulcamara L.","Solanum dulcamara","L.",695,1895,"NE"
"Limosella aquatica L.","Limosella aquatica","L.",NA,NA,"LC"
"Pilea umbrosa Wall. ex Bl.","Pilea umbrosa","Wedd. ex Blume",1150,2150,"NE"
"Buddleja davidii Franch.","Buddleja davidii","Franch.",1100,1900,"NE"
"Elatostema papillosum Wedd.","Elatostema papillosum","Wedd.",650,1350,"NE"
"Girardinia diversifolia (Link) Friis","Girardinia diversifolia","(Link) Friis",1300,1700,"NE"
"Wikstroemia canescens Wall. ex Meissn.","Stellera chamaejasme","L.",850,2350,"NE"
"Wikstroemia canescens Wall. ex Meissn.","Wikstroemia canescens","Meisn.",850,2350,"NE"
"Myricaria elegans Royle","Myrtama elegans","(Royle) Ovcz. & Kinzik.",1030.5,3469.5,"LC"
"Solanum sisymbriifolium Lam.","Solanum sisymbriifolium","Lam.",450,1050,"NE"
"Withania somnifera (L.) Dunal","Withania somnifera","(L.) Dunal",893.5,1106.5,"NE"
"Scrophularia himalensis Royle","Scrophularia himalensis","Royle ex Benth.",1350,1950,"NE"
"Myricaria germanica (L.) Desv.","Myricaria germanica","(L.) Desv.",1984,2284,"NE"
"Saxifraga parnassifolia D. Don","Saxifraga parnassifolia","D.Don",1800,3700,"NE"
"Saxifraga parnassifolia D. Don","Saxifraga hookeri var. hookeri",NA,1800,3700,"NE"
"Nicotiana plumbaginifolia Viv.","Nicotiana plumbaginifolia","Viv.",900,1300,"NE"
"Stachytarpheta mutabilis (Jacq.) Vahl","Stachytarpheta mutabilis","(Jacq.) Vahl",NA,NA,"NE"
"Chrysosplenium carnosum Hook. fil. & Thoms.","Chrysosplenium carnosum","Hook.f. & Thomson",1100,4400,"NE"
"Scrophularia calycina Benth.","Scrophularia calycina","Benth.",600,3400,"NE"
"Smilax zeylanica L.","Smilax zeylanica","L.",675,825,"NE"
"Laportea interrupta (L.) Chew","Laportea interrupta","(L.) Chew",300,700,"NE"
"Nicotiana tabacum L.","Nicotiana tabacum","L.",1200,1300,"NE"
"Smilax vaginata Decne.","Smilax vaginata","Decne.",900,2600,"NE"
"Smilax menispermoidea A.DC.","Smilax menispermoidea","A.DC.",1335,2935,"NE"
"Solanum erianthum D.Don","Solanum erianthum","D.Don",950,1150,"NE"
"Ailanthus altissima (Miller) Swingle","Ailanthus altissima","(Mill.) Swingle",1050,2750,"NE"
"Acer laevigatum Wall.","Acer laevigatum","Wall.",750,1950,"LC"
"Saxifraga filicaulis Wall.","Saxifraga filicaulis","Wall. ex Ser.",750,3250,"NE"
"Acer pseudoplatanus L.","Acer pseudoplatanus","L.",601,2399,"LC"
"Atropa acuminata Royle ex Miers","Atropa acuminata","Royle ex Lindl.",400,3100,"NE"
"Physalis peruviana L.","Physalis peruviana","L.",900,1300,"LC"
