"powo_taxa","powo_author","powo_dist","Morni","Chail","Churdhar"
"Dryopteris cochleata","(D.Don) C.Chr.","Native",1,0,0
"Dryopteris nigropaleacea","(Fraser-Jenk.) Fraser-Jenk.","Native",0,1,0
"Dryopteris panda","(C.B.Clarke) C.Chr.","Native",0,1,0
"Duhaldea cappa","(Buch.-Ham. ex D.Don) Pruski & Anderb.","Native",1,1,0
"Duhaldea cuspidata","(DC.) Anderb.","Native",1,1,0
"Dumasia villosa","DC.","Native",0,1,0
"Duranta erecta","L.","Introduced",1,0,0
"Echinochloa colonum","(L.) Link","Native",1,1,1
"Echinochloa crus-galli","(L.) P.Beauv.","Native",0,0,1
"Echinocystis lobata","(Michx.) Torr. & A.Gray",NA,0,1,0
"Eclipta prostrata","(L.) L.","Introduced",1,0,0
"Ehretia aspera","Willd.","Native",1,0,0
"Elaeagnus umbellata","Thunb.","Native",0,1,1
"Elaeocarpus serratus","L.","Native",1,0,0
"Eleocharis congesta","D.Don","Native",0,0,1
"Eleocharis palustris","(L.) Roem. & Schult.","Native",0,0,1
"Elsholtzia ciliata","(Thunb.) Hyl.","Native",0,0,1
"Elsholtzia eriostachya","(Benth.) Benth.","Native",0,0,1
"Elsholtzia fruticosa","(D.Don) Rehder","Native",0,0,1
"Elsholtzia strobilifera","(Benth.) Benth.","Native",0,0,1
"Elymus longearistatus","(Boiss.) Tzvelev","Native",0,0,1
"Elymus semicostatus","(Steud.) Melderis","Native",0,0,1
"Emilia sonchifolia","(L.) DC.","Native",1,0,0
"Engelhardia spicata","Lechen ex Blume","Native",1,1,0
"Epilobium amurense","Hausskn.","Native",0,1,0
"Epilobium brevifolium","D.Don","Native",0,0,1
"Epilobium cylindricum","D.Don","Native",0,0,1
"Epilobium latifolium","L.","Native",0,0,1
"Epilobium laxum","Royle","Native",0,0,1
"Epilobium royleanum","Hausskn.","Native",0,0,1
"Epipactis helleborine","(L.) Crantz","Native",0,1,1
"Epipactis royleana","Lindl.","Native",0,1,1
"Equilabium molle","(Aiton) Mwany. & A.J.Paton","Native",1,1,0
"Eragrostis atrovirens","(Desf.) Trin. ex Steud.","Native",1,0,0
"Eragrostis pilosa","(L.) P.Beauv.","Native",0,0,1
"Eragrostis unioloides","(Retz.) Nees ex Steud.","Native",1,0,0
"Eragrostis viscosa","(Retz.) Trin.","Native",1,0,0
"Eranthemum pulchellum","Andrews","Native",1,0,0
"Eremogone festucoides","(Benth.) Pusalkar & D.K.Singh","Native",0,0,1
"Erigeron acris","L.","Native",0,1,0
"Erigeron annuus","(L.) Desf","Introduced",0,1,0
"Erigeron canadensis","L.","Introduced",1,0,0
"Erigeron emodi","I.M.Turner","Native",0,1,0
"Erigeron multiradiatus","(Lindl. ex DC.) Benth. & Hook.f.","Native",0,0,1
"Erigeron uniflorus","L.","Native",0,0,1
"Eriocapitella rivularis","(Buch.-Ham. ex DC.) Christenh. & Byng","Native",0,1,1
"Eriocapitella vitifolia","(Buch.-Ham. ex DC.) Nakai","Native",0,1,1
"Erioscirpus comosus","(Wall.) Palla","Native",1,1,0
"Erodium cicutarium","(L.) L'Hér.","Native",0,0,1
"Erysimum virgatum","Roth","Native",0,0,1
"Erythrina suberosa","Roxb.","Native",1,0,0
"Erythrina variegata","L.","Native",1,0,0
"Eschenbachia japonica","(Thunb.) J.Kost.","Native",1,1,0
"Eschenbachia stricta","(Willd.) Raizada","Native",1,0,0
"Eucalyptus camaldulensis","Dehnh.","Introduced",1,0,0
"Eucalyptus crebra","F.Muell.","Introduced",1,0,0
"Eucalyptus tereticornis","Sm.","Introduced",1,0,0
"Eulalia hirtifolia","(Hack.) Kuntze","Native",0,1,0
"Eulalia mollis","(Griseb.) Kuntze","Native",0,1,0
"Eulaliopsis binata","(Retz.) C.E.Hubb.","Native",1,0,0
"Euonymus echinatus","Wall.","Native",0,0,1
"Euonymus fimbriatus","Wall.","Native",0,0,1
"Euonymus hamiltonianus","Wall.","Native",0,0,1
"Euonymus lucidus","D.Don","Native",0,1,1
"Euonymus tingens","Wall.","Native",0,1,1
"Euphorbia cashmeriana","Royle","Native",1,0,0
"Euphorbia clarkeana","Hook.f.","Native",1,0,0
"Euphorbia cornigera","Boiss.","Native",0,1,1
"Euphorbia dracunculoides","Lam.","Native",1,0,0
"Euphorbia helioscopia","L.","Native",0,1,0
"Euphorbia heterophylla","L.","Introduced",1,0,0
"Euphorbia hirta","L.","Introduced",1,0,0
"Euphorbia indica","Lam.","Native",1,0,1
"Euphorbia jacquemontii","Boiss.","Native",0,0,1
"Euphorbia maddenii","Boiss.","Native",0,0,1
"Euphorbia neriifolia","L.","Native",1,0,0
"Euphorbia prolifera","Buch.-Ham. ex D.Don","Native",0,1,0
"Euphorbia pseudosikkimensis","(Hurus. & Yu.Tanaka) Radcl.-Sm.","Native",0,0,1
"Euphorbia pulcherrima","Willd. ex Klotzsch","Introduced",1,0,0
"Euphorbia royleana","Boiss.","Native",1,1,0
"Euphorbia stracheyi","Boiss.","Native",0,0,1
"Euphorbia thymifolia","L.","Introduced",1,0,0
"Euploca strigosa","(Willd.) Diane & Hilger","Native",1,0,0
"Eurya acuminata","DC.","Native",0,1,0
"Evolvulus alsinoides","(L.) L.","Native",1,0,0
"Evolvulus nummularius","(L.) L.","Introduced",1,0,0
"Evotrochis floribunda","(Wall.) Fırat & Lidén","Native",0,0,1
"Fagopyrum cymosum","(Trevir.) Meisn.","Native",0,1,0
"Fagopyrum esculentum","Moench","Introduced",0,0,1
"Falconeria insignis","Royle","Native",1,0,0
"Fernandoa adenophylla","(Wall. ex G.Don) Steenis","Native",1,0,0
"Festuca kashmiriana","Stapf","Native",0,0,1
"Festuca valesiaca","Schleich. ex Gaudin","Native",0,0,1
"Ficus auriculata","Lour.","Native",1,1,0
"Ficus benghalensis","L.","Native",1,0,0
"Ficus carica","L.","Native",0,1,0
"Ficus hispida","L.f.","Native",1,0,0
"Ficus neriifolia","Sm.","Native",0,1,1
"Ficus palmata","Forssk.","Native",0,1,1
"Ficus racemosa","L.","Native",1,0,0
"Ficus religiosa","L.","Native",1,0,0
"Ficus religiosa","L.",NA,0,0,1
"Ficus sarmentosa","Buch.-Ham. ex Sm.","Native",0,1,1
"Ficus semicordata","Buch.-Ham. ex Sm.","Native",0,0,1
"Filipendula vestita","(Wall. ex G.Don) Maxim.","Native",0,0,1
"Fimbristylis dichotoma","(L.) Vahl","Native",1,0,0
"Fimbristylis quinquangularis","(Vahl) Kunth","Native",1,0,0
"Fimbristylis rigidula","Nees","Native",0,1,0
"Firmiana fulgens","(Wall. ex Mast.) K.Schum.","Native",1,0,0
"Flacourtia indica","(Burm.f.) Merr.","Native",1,1,0
"Flacourtia jangomas","(Lour.) Raeusch.","Introduced",1,0,0
"Flemingia bracteata","(Roxb.) Wight","Native",1,0,0
"Flemingia fruticulosa","Wall. ex Benth.","Native",0,1,0
"Flemingia semialata","Roxb. ex W.T.Aiton","Native",1,0,0
"Flemingia strobilifera","(L.) W.T.Aiton","Native",1,1,0
"Flueggea virosa","(Roxb. ex Willd.) Royle","Native",1,0,0
"Fragaria nilgerrensis","Schltdl. ex J.Gay","Native",1,0,0
"Fragaria nubicola","(Lindl. ex Hook.f.) Lacaita","Native",1,1,1
"Fraxinus micrantha","Lingelsh.","Native",0,1,0
"Fritillaria cirrhosa","D.Don","Native",0,0,1
"Fumaria indica","(Hausskn.) Pugsley","Native",1,0,0
"Fumaria parviflora","Lam.",NA,0,1,0
"Gagea lutea","(L.) Ker Gawl.","Native",0,1,1
"Gagea serotina","(L.) Ker Gawl.","Native",0,0,1
"Galactia striata","(Jacq.) Urb.","Native",1,0,0
"Galinsoga parviflora","Cav.","Introduced",1,1,0
"Galium acutum","Edgew.","Native",0,1,0
"Galium aparine","L.","Native",1,1,0
"Galium asperifolium","Wall.","Native",0,1,0
"Galium asperuloides","Edgew.","Native",0,0,1
"Galium elegans","Wall.","Native",0,1,0
"Galium spurium","L.","Native",1,0,0
"Galium triflorum","Michx.","Native",0,1,0
"Garuga pinnata","Roxb.","Native",1,0,0
"Gaultheria trichophylla","Royle","Native",0,0,1
"Gentiana argentea","(Royle ex D.Don) Royle ex D.Don","Native",0,0,1
"Gentiana pedicellata","(D.Don) Griseb.","Native",1,0,1
"Gentianopsis paludosa","(Hook.f.) Ma","Native",0,0,1
"Geranium himalayense","Klotzsch","Native",0,1,0
"Geranium lucidum","L.","Native",1,0,1
"Geranium mascatense","Boiss.","Native",1,0,0
"Geranium nepalense","Sweet","Native",0,1,0
"Geranium ocellatum","Jacquem. ex Cambess.","Native",1,1,0
"Geranium pusillum","L.","Native",0,1,0
"Geranium robertianum","L.","Native",0,0,1
"Geranium wallichianum","D.Don ex Sweet","Native",0,1,1
"Geum elatum","Wall. ex G.Don","Native",0,0,1
"Girardinia diversifolia","(Link) Friis","Native",0,1,0
"Glochidion heyneanum","(Wight & Arn.) Wight","Native",1,1,0
"Gloriosa superba","L.","Native",1,0,0
"Gmelina arborea","Roxb. ex Sm.","Native",1,0,0
"Gnaphalium polycaulon","Pers.","Native",1,0,0
"Gonostegia triandra","(Blume) Miq.","Native",0,1,0
"Goodyera biflora","(Lindl.) Hook.f.","Native",0,1,1
"Goodyera fusca","(Lindl.) Hook.f.","Native",0,0,1
"Goodyera repens","(L.) R.Br.","Native",0,1,1
"Gossypium arboreum","L.","Native",1,0,0
"Grangea maderaspatana","(L.) Poir.","Native",1,0,0
"Grevillea robusta","A.Cunn. ex R.Br.","Introduced",1,0,0
"Grewia eriocarpa","Juss.","Native",1,0,0
"Grewia hirsuta","Vahl","Native",1,0,0
"Grewia optiva","J.R.Drumm. ex Burret","Native",1,1,0
"Grewia tenax","(Forssk.) Fiori","Native",1,0,0
"Grewia tiliifolia","Vahl","Native",1,0,0
"Griffitharia lanata","(D.Don) Rushforth","Native",0,1,1
"Grona heterocarpos","(L.) H.Ohashi & K.Ohashi","Native",1,0,0
"Grona triflora","(L.) H.Ohashi & K.Ohashi","Native",1,1,0
"Guilandina bonduc","L.","Native",1,0,0
"Gymnosporia royleana","Wall. ex M.A.Lawson","Native",1,0,0
"Habenaria commelinifolia","(Roxb.) Wall. ex Lindl.","Native",0,0,1
"Habenaria intermedia","D.Don","Native",0,1,1
"Habenaria marginata","Colebr.","Native",0,1,1
"Habenaria pectinata","D.Don","Native",0,1,1
"Habenaria plantaginea","Lindl.","Native",1,0,0
"Hackelia uncinata","(Royle ex Benth.) C.E.C.Fisch.","Native",0,0,1
"Halenia elliptica","D.Don","Native",0,0,1
"Hedera helix","L.",NA,0,1,0
"Hedera nepalensis","K.Koch","Native",0,1,1
"Hedychium spicatum","Sm.","Native",0,1,1
"Hedysarum microcalyx","Baker","Native",0,0,1
"Helicteres isora","L.","Native",1,0,0
"Helinus lanceolatus","Brandis","Native",1,0,0
"Heliotropium indicum","L.",NA,0,1,0
"Hellenia speciosa","(J.Koenig) S.R.Dutta","Native",1,0,0
"Hemerocallis lilioasphodelus","L.","Native",0,1,0
"Hemidesmus indicus","(L.) R.Br.","Native",1,0,0
"Hemionitis albomarginata","(C.B.Clarke) Christenh.","Native",0,1,0
"Hemiphragma heterophyllum","Wall.","Native",0,0,1
"Hemipilia chusua","(D.Don) Y.Tang & H.Peng","Native",0,0,1
"Henckelia bifolia","(D.Don) A.Dietr.","Native",0,1,1
"Heracleum candicans","Wall. ex DC.","Native",0,1,1
"Herminium clavigerum","(Lindl.) X.H.Jin, Schuit., Raskoti & Lu Q.Huang","Native",0,0,1
"Herminium edgeworthii","(Hook.f. ex Collett) X.H.Jin, Schuit., Raskoti & Lu Q.Huang","Native",0,0,1
"Herminium elisabethae","(Duthie) Tang & F.T.Wang","Native",0,0,1
"Herminium josephi","Rchb.f.","Native",0,0,1
"Herminium lanceum","(Thunb. ex Sw.) Vuijk","Native",0,1,0
"Herminium monorchis","(L.) R.Br.","Native",0,0,1
"Heteropogon contortus","(L.) P.Beauv. ex Roem. & Schult.","Native",1,1,0
"Hibiscus lobatus","(Murray) Kuntze","Native",1,0,0
"Hibiscus micranthus","L.f.","Native",1,0,0
"Himalayacalamus falconeri","(Hook.f. ex Munro) Keng f.","Native",0,0,1
"Himalrandia tetrasperma","(Wall. ex Roxb.) T.Yamaz.","Native",1,1,1
"Hippolytia longifolia","(Rech.f.) C.Shih","Native",0,1,1
"Holarrhena pubescens","Wall. ex G.Don","Native",1,0,0
"Holmskioldia sanguinea","Retz.","Native",1,0,0
"Holoptelea integrifolia","(Roxb.) Planch.","Native",1,0,0
"Hygrophila auriculata","(Schumach.) Heine","Native",1,0,0
"Hylodesmum podocarpum","(DC.) H.Ohashi & R.R.Mill","Native",1,0,0
"Hylotelephium ewersii","(Ledeb.) H.Ohba","Native",0,0,1
"Hymenidium brunonis","(DC.) Lindl.","Native",0,0,1
"Hymenidium stellatum","(D.Don) Pimenov & Kljuykov","Native",0,0,1
"Hymenodictyon orixense","(Roxb.) Mabb.","Native",1,0,0
"Hymenolaena candollei","DC.","Native",0,0,1
"Hypericum androsaemum","L.",NA,0,1,0
"Hypericum choisyanum","Wall. ex N.Robson","Native",0,0,1
"Hypericum dyeri","Rehder","Native",0,1,1
"Hypericum elodeoides","Choisy","Native",0,0,1
"Hypericum oblongifolium","Choisy","Native",1,1,1
"Hypericum perforatum","L.","Native",0,0,1
"Hypertelis cerviana","(L.) Thulin","Native",1,0,0
"Hypodematium crenatum","(Forssk.) Kuhn","Native",1,0,0
"Hypoxis aurea","Lour.","Native",0,0,1
"Ichnocarpus frutescens","(L.) W.T.Aiton","Native",1,0,0
"Ilex dipyrena","Wall.","Native",0,1,1
"Impatiens amplexicaulis","Edgew.","Native",0,0,1
"Impatiens arguta","Hook.f. & Thomson",NA,0,1,0
"Impatiens arguta","Hook.f. & Thomson","Native",0,0,1
"Impatiens balsamina","L.","Native",1,0,0
"Impatiens balsamina","L.","Introduced",0,1,0
"Impatiens brachycentra","Kar. & Kir.","Native",0,0,1
"Impatiens devendrae","Pusalkar","Native",0,1,1
"Impatiens glandulifera","Royle","Native",0,0,1
"Impatiens glauca","Hook.f. & Thomson","Native",0,0,1
"Impatiens laxiflora","Edgew.","Native",0,1,1
"Impatiens racemosa","DC.","Native",0,0,1
"Impatiens scabrida","DC.","Native",1,1,0
"Impatiens sulcata","Wall.","Native",0,1,1
"Impatiens tricornis","Lindl.","Native",0,0,1
"Impatiens urticifolia","Wall.",NA,0,0,1
"Indigofera angulosa","Edgew.","Native",1,0,0
"Indigofera astragalina","DC.","Native",1,0,0
"Indigofera atropurpurea","Buch.-Ham. ex Hornem.","Native",1,0,1
"Indigofera cassioides","Rottler ex DC.","Native",1,1,1
"Indigofera cordifolia","B. Heyne ex Roth","Native",1,0,0
"Indigofera dosua","Buch.-Ham. ex D.Don","Native",0,1,1
"Indigofera exilis","Grierson & D.G.Long","Native",0,0,1
"Indigofera hebepetala","Benth. ex Baker","Native",0,0,1
"Indigofera heterantha","Wall. ex Brandis","Native",0,1,1
"Indigofera linifolia","(L.f.) Retz.","Native",1,0,0
"Indigofera tsiangiana","Metcalf","Native",1,0,0
"Ipomoea cairica","(L.) Sweet","Native",1,0,0
"Ipomoea carnea","Jacq.","Introduced",1,0,0
"Ipomoea eriocarpa","R.Br.","Native",1,0,0
"Ipomoea hederifolia","L.","Introduced",1,0,0
"Ipomoea muricata","(L.) Jacq.","Introduced",1,0,0
"Ipomoea pes-tigridis","L.","Native",1,0,0
"Ipomoea purpurea","(L.) Roth","Introduced",0,1,0
"Ipomoea quamoclit","L.","Introduced",1,0,0
"Iris decora","Wall.","Native",0,1,0
"Iris kemaonensis","Wall. ex D.Don","Native",0,0,1
"Isodon coetsa","(Buch.-Ham. ex D.Don) Kudô","Native",1,0,0
"Isodon lophanthoides","(Buch.-Ham. ex D.Don) H.Hara","Native",0,1,0
"Isodon rugosus","(Wall. ex Benth.) Codd","Native",0,1,1
"Isodon wightii","(Benth.) H.Hara",NA,0,1,0
"Jacaranda mimosifolia","D.Don","Introduced",0,1,0
"Jacobaea analoga","(DC.) Veldkamp","Native",0,1,1
"Jacobaea nudicaulis","(Buch.-Ham. ex D.Don) B.Nord.","Native",1,1,0
"Jaeschkea canaliculata","(Royle ex G.Don) Knobl.","Native",0,0,1
"Jasminum arborescens","Roxb.","Native",1,0,0
"Jasminum multiflorum","(Burm.f.) Andrews","Native",1,0,0
"Jasminum nepalense","Spreng.","Native",1,0,0
"Jasminum officinale","L.","Native",0,1,0
"Jasminum sambac","(L.) Aiton","Native",1,0,0
"Jatropha curcas","L.","Introduced",1,0,0
"Jatropha gossypiifolia","L.","Introduced",1,0,0
"Juglans regia","L.","Native",0,1,1
"Juncus bufonius","L.","Native",1,0,0
"Juncus concinnus","D.Don","Native",0,0,1
"Juncus himalensis","Klotzsch","Native",0,0,1
"Juncus thomsonii","Buchenau","Native",0,0,1
"Juniperus recurva","Buch.-Ham. ex D.Don","Native",0,0,1
"Jurinea auriculata","(DC.) N.Garcia, Herrando & Susanna","Native",0,0,1
"Jurinea heteromalla","(D.Don) N.Garcia, Herrando & Susanna","Native",1,0,0
"Justicia adhatoda","L.","Native",1,1,1
"Justicia brandegeeana","Wassh. & L.B.Sm.","Introduced",1,0,0
"Justicia micrantha","Wall. ex C.B.Clarke","Native",1,0,0
"Kalanchoe fedtschenkoi","Raym.-Hamet & H.Perrier","Introduced",1,0,0
"Kalanchoe integra","(Medik.) Kuntze","Native",0,1,1
"Kalanchoe pinnata","(Lam.) Pers.","Introduced",1,0,0
"Klasea pallida","(DC.) Holub","Native",1,0,0
"Koeleria spicata","(L.) Barberá, Quintanar, Soreng & P.M.Peterson","Native",0,0,1
"Koenigia delicatula","(Meisn.) H.Hara","Native",0,0,1
"Koenigia filicaulis","(Wall. ex Meisn.) Hedberg","Native",0,0,1
"Koenigia mollis","(D.Don) T.M.Schust. & Reveal","Native",0,0,1
"Koenigia polystachya","(Wall. ex Meisn.) T.M.Schust. & Reveal","Native",0,0,1
"Koenigia rumicifolia","(Royle ex Bab.) T.M.Schust. & Reveal","Native",0,0,1
"Kohautia aspera","(B.Heyne ex Roth) Bremek.","Native",1,0,0
"Kohautia coccinea","Royle","Native",0,1,0
"Kydia calycina","Roxb.","Native",1,0,0
"Lagerstroemia parviflora","Roxb.","Native",0,1,0
"Lamium album","L.","Native",0,1,1
"Lannea coromandelica","(Houtt.) Merr.","Native",1,1,0
"Lantana camara","L.","Introduced",1,1,0
"Lathraea squamaria","L.","Native",0,1,0
"Lathyrus aphaca","L.","Native",1,1,0
"Lathyrus emodi","(Wall. ex Fritsch) Fritsch ex T.Durand & B.D.Jacks.","Native",0,0,1
"Lathyrus sativus","L.","Introduced",1,0,0
"Lathyrus sphaericus","Retz.","Native",1,0,0
"Launaea intybacea","(Jacq.) Beauverd","Native",1,0,0
"Launaea nudicaulis","(L.) Hook.f.","Native",1,0,0
"Launaea procumbens","(Roxb.) Ramayya & Rajagopal","Native",1,0,0
"Lawsonia inermis","L.","Native",1,0,0
"Lecanthus peduncularis","(Royle) Wedd.","Native",0,1,1
"Leea asiatica","(L.) Ridsdale","Native",1,0,1
"Leea macrophylla","Roxb. ex Hornem.","Native",1,0,0
"Leonotis nepetifolia","(L.) R.Br.","Native",1,0,0
"Leonurus cardiaca","L.","Introduced",0,0,1
"Lepidagathis cristata","Willd.","Native",1,0,0
"Lepidagathis cuspidata","Nees","Native",1,0,0
"Lepidagathis fasciculata","(Retz.) Nees","Native",1,0,0
"Lepidagathis incurva","Buch.-Ham. ex D.Don","Native",1,0,0
"Lepidagathis purpuricaulis","Nees","Native",1,0,0
"Lepidium didymum","L.","Introduced",1,0,0
"Lepidium sativum","L.","Native",1,1,0
"Lepisorus nudus","(Hook.) Ching","Native",0,1,0
"Leptodermis lanceolata","Wall.","Native",1,1,0
"Leptodesmia microphylla","(Thunb.) H.Ohashi & K.Ohashi","Native",0,1,0
"Leptopus cordifolius","Decne.","Native",1,1,0
"Leptorhabdos parviflora","(Benth.) Benth.","Native",0,0,1
"Lepyrodiclis holosteoides","(C.A.Mey.) Fenzl ex Fisch. & C.A.Mey.","Native",0,0,1
"Lespedeza cuneata","(Dum.Cours.) G.Don","Native",0,1,0
"Lespedeza gerardiana","Wall. ex Maxim.","Native",0,1,0
"Lespedeza juncea","(L.f.) Pers.","Native",1,0,0
"Leucaena leucocephala","(Lam.) de Wit","Introduced",1,0,0
"Leucanthemum vulgare","Lam.","Introduced",0,1,0
"Leucas cephalotes","(Roth) Spreng.","Native",1,0,1
"Leucas decemdentata","(Willd.) Sm.","Native",1,0,0
"Leucas lanata","Benth.","Native",1,1,1
"Leucomeris spectabilis","D.Don","Native",1,0,0
"Leucosyke puya","(Hook.) den Baaker & Mabb.","Native",1,0,0
"Leycesteria formosa","Wall.","Native",0,0,1
"Ligularia amplexicaulis","DC.","Native",0,0,1
"Ligusticopsis wallichiana","(DC.) Pimenov & Kljuykov","Native",0,0,1
"Limonia acidissima","L.","Native",1,0,0
"Limonia acidissima","L.",NA,0,0,1
"Lindelofia longiflora","(DC.) Baill.","Native",0,0,1
"Lindenbergia indica","(L.) Vatke","Native",1,1,0
"Lindenbergia macrostachya","(Benth.) Benth.","Native",1,0,0
"Lindenbergia muraria","(Roxb. ex D.Don) Brühl","Native",1,0,0
"Lindera pulcherrima","(Nees) Benth. ex Hook.f.","Native",0,1,0
"Liparis odorata","(Willd.) Lindl.","Native",0,1,0
"Litsea glutinosa","(Lour.) C.B.Rob.","Native",1,0,0
"Litsea monopetala","(Roxb.) Pers.","Native",0,0,1
"Lobelia alsinoides","Lam.","Native",1,0,0
"Lobelia heyneana","Schult.","Native",1,0,0
"Lolium temulentum","L.","Native",1,0,0
"Lonicera acuminata","Wall.","Native",0,0,1
"Lonicera angustifolia","Wall. ex DC.","Native",0,1,1
"Lonicera asperifolia","(Decne.) Hook.f. & Thomson","Native",0,0,1
"Lonicera caucasica","Pall.","Native",0,0,1
"Lonicera hispida","Pall. ex Schult.","Native",0,0,1
"Lonicera hypoleuca","Decne.","Native",0,0,1
"Lonicera obovata","Royle ex Hook.f. & Thomson","Native",0,0,1
"Lonicera quinquelocularis","Hardw.","Native",0,1,1
"Lonicera webbiana","Wall. ex DC.","Native",0,0,1
"Luffa acutangula","(L.) Roxb.","Native",1,0,0
"Lycium edgeworthii","Dunal","Native",1,0,0
"Lyonia ovalifolia","(Wall.) Drude","Native",0,1,1
"Lysimachia arvensis","(L.) U.Manns & Anderb.","Introduced",1,0,0
"Lysimachia arvensis","(L.) U.Manns & Anderb.","Native",0,1,0
"Lysimachia chenopodioides","Watt ex Hook.f.","Native",0,0,1
"Machilus duthiei","King ex Hook.f.","Native",0,1,0
"Machilus odoratissimus","Nees","Native",0,1,1
"Macrotyloma uniflorum","(Lam.) Verdc.","Native",1,0,0
"Madhuca longifolia","(L.) J.F.Macbr.","Native",1,0,0
"Maianthemum purpureum","(Wall.) LaFrankie","Native",0,0,1
"Malaxis muscifera","(Lindl.) Kuntze","Native",0,1,1
"Mallotus philippensis","(Lam.) Müll.Arg.","Native",1,1,0
"Malva neglecta","Wallr.","Native",0,0,1
"Malva parviflora","L.","Introduced",1,0,0
"Malva verticillata","L.","Native",0,1,0
"Malvastrum coromandelianum","(L.) Garcke","Introduced",1,1,0
"Mangifera indica","L.","Introduced",1,0,0
"Manilkara hexandra","(Roxb.) Dubard","Native",1,0,0
"Marsdenia roylei","Wight","Native",0,1,1
"Martynia annua","L.","Introduced",1,0,0
"Mazus pumilus","(Burm.f.) Steenis","Native",1,0,1
"Mazus surculosus","D.Don","Native",0,1,0
"Meconopsis aculeata","Royle","Native",0,0,1
"Medicago lupulina","L.","Native",1,0,0
"Medicago monantha","(C.A.Mey.) Trautv.","Native",1,0,0
"Medicago polymorpha","L.","Native",1,0,0
"Melaleuca viminalis","(Sol. ex Gaertn.) Byrnes","Introduced",1,0,0
"Melanoseris brunoniana","(Wall. ex DC.) N.Kilian & Ze H.Wang","Native",0,0,1
"Melanoseris macrorhiza","(Royle) N.Kilian","Native",0,0,1
"Melia azedarach","L.","Native",1,1,0
"Melilotus indicus","(L.) All.","Native",1,0,0
"Meliosma dilleniifolia","(Wall. ex Wight & Arn.) Walp.",NA,0,1,0
"Meliosma dilleniifolia","(Wall. ex Wight & Arn.) Walp.","Native",0,0,1
"Melocanna baccifera","(Roxb.) Kurz","Native",1,0,0
"Melochia corchorifolia","L.","Native",1,0,0
"Mentha longifolia","(L.) L.","Native",0,1,1
"Merremia hederacea","(Burm.f.) Hallier f.","Native",1,0,0
"Mesosphaerum suaveolens","(L.) Kuntze","Native",1,0,0
"Mesostemma latifolium","(Benth. ex G.Don) Ikonn.","Native",0,0,1
"Micranthes pallida","(Wall. ex Ser.) Losinsk.","Native",0,0,1
"Micromeria biflora","(Buch.-Ham. ex D.Don) Benth.","Native",1,1,1
"Milium effusum","L.","Native",0,0,1
"Miliusa velutina","(DC.) Hook.f. & Thomson","Native",1,0,0
"Millettia extensa","(Benth.) Benth. ex Baker","Native",1,0,0
"Mimosa pudica","L.","Introduced",1,1,0
"Mimosa rubicaulis","Lam.","Native",1,0,0
"Mirabilis jalapa","L.","Introduced",1,1,0
"Mitragyna parvifolia","(Roxb.) Korth.","Native",1,0,0
"Momordica charantia","L.","Native",1,0,0
"Morina longifolia","Wall. ex DC.","Native",0,0,1
"Moringa concanensis","Nimmo ex Dalzell & A.Gibson","Native",1,0,0
"Moringa oleifera","Lam.","Native",1,0,0
"Morus alba","L.","Introduced",1,1,0
"Mucuna pruriens","(L.) DC.","Native",1,0,0
"Muhlenbergia himalayensis","Hack. ex Hook.f.","Native",0,0,1
"Murdannia divergens","(C.B.Clarke) G.Brückn.","Native",0,1,0
"Murdannia nudiflora","(L.) Brenan","Native",1,0,0
"Musa× paradisiaca","L.","Introduced",1,0,0
"Myosotis sylvatica","Ehrh. ex Hoffm.","Native",0,0,1
"Myriactis nepalensis","Less.","Native",0,1,1
"Myrica esculenta","Buch.-Ham. ex D.Don","Native",0,1,0
"Myrsine africana","L.","Native",1,1,0
"Myrsine semiserrata","Wall.","Native",0,1,1
"Nanorrhinum ramosissimum","(Wall.) Betsche","Native",1,0,0
"Naringi crenulata","(Roxb.) Nicolson","Native",1,0,0
"Neanotis hirsuta","(L.f.) W.H.Lewis",NA,0,0,1
"Neolamarckia cadamba","(Roxb.) Bosser","Native",1,0,0
"Neolitsea cuipala","(D.Don) Kosterm.","Native",0,0,1
"Neolitsea pallens","(D.Don) Momiy. & H.Hara","Native",0,0,1
"Neolitsea umbrosa","(Nees) Gamble",NA,0,0,1
"Neottia listeroides","Lindl.","Native",0,0,1
"Nepeta ciliaris","Benth.","Native",1,0,0
"Nepeta connata","Royle ex Benth.","Native",0,0,1
"Nepeta erecta","(Royle ex Benth.) Benth.","Native",0,1,0
"Nepeta hindostana","(B.Heyne ex Roth) Haines","Native",1,0,0
"Nepeta laevigata","(D.Don) Hand.-Mazz.","Native",0,1,1
"Nepeta lamiopsis","Benth. ex Hook.f.","Native",0,0,1
"Nepeta podostachys","Benth.","Native",0,0,1
"Nerium oleander","L.","Native",1,0,0
"Nicandra physalodes","(L.) Gaertn.","Introduced",1,1,0
"Nicotiana plumbaginifolia","Viv.","Introduced",1,0,0
"Nicotiana rustica","L.","Introduced",1,0,0
"Nicotiana tabacum","L.","Introduced",1,0,0
"Nidorella aegyptiaca","(L.) J.C.Manning & Goldblatt","Native",0,0,1
"Noccaea cochleariformis","(DC.) Á.Löve & D.Löve","Native",0,0,1
"Nyctanthes arbor-tristis","L.","Native",1,0,0
"Ocimum americanum","L.","Native",1,0,0
"Ocimum gratissimum","L.","Native",1,0,0
"Ocimum tenuiflorum","L.","Native",1,1,1
"Oenothera rosea","L'Hér. ex Aiton","Introduced",0,1,0
