given_name,POWOAccepted,POWODist,Champion1968,Choudhary2007,Choudhary2012,eFI2022,FOI2022,Gupta1998,Radha2019,Subramani2014,Thakur2021a
Epipactis latifolia (L.) All.,Epipactis helleborine (L.) Crantz,Native,0,0,0,0,0,1,0,0,0
Epipactis royleana Lindl.,Epipactis royleana Lindl.,Native,0,0,0,0,0,1,0,0,0
Eragrostis pilosa (L.) P.Beauv.,Eragrostis pilosa (L.) P.Beauv.,Native,0,0,0,0,0,0,0,1,0
Erigeron alpinus L.*,Erigeron uniflorus L.,Native,0,0,0,0,0,0,0,1,0
Erigeron multiradiatus (Lindl. ex DC.) Benth. & Hook.f.,Erigeron multiradiatus (Lindl. ex DC.) Benth. & Hook.f.,Native,0,0,0,0,0,0,0,1,0
Eriocapitella vitifolia (Buch.-Ham. ex DC.) Nakai,Eriocapitella vitifolia (Buch.-Ham. ex DC.) Nakai,Native,0,0,0,1,0,0,0,0,0
Erodium cicutarium (L.) L'Hér.,Erodium cicutarium (L.) L'Hér.,Native,0,0,0,0,0,0,0,1,0
Erysimum hieraciifolium L.*,Erysimum virgatum Roth,Native,0,0,0,1,0,0,0,0,0
Euonymus echinatus Wall.,Euonymus echinatus Wall.,Native,0,0,0,0,0,0,0,1,0
Euonymus hamiltonianus Wall.,Euonymus hamiltonianus Wall.,Native,0,0,1,0,0,0,0,1,0
Euonymus lacerus Buch.-Ham. ex D.Don,Euonymus fimbriatus Wall.,Native,1,0,0,0,0,0,0,0,0
Euonymus lucidus D.Don,Euonymus lucidus D.Don,Native,0,0,0,1,0,0,0,1,1
Euonymus tingens Wall.,Euonymus tingens Wall.,Native,1,0,0,1,0,1,0,0,0
Eupatorium odoratissimum Voss,Ageratina ligustrina (DC.) R.M.King & H.Rob.,Native,0,0,1,0,0,0,0,0,0
Euphorbia donii Oudejans,Euphorbia pseudosikkimensis (Hurus. & Yu.Tanaka) Radcl.-Sm.,Native,0,0,0,1,1,0,0,0,0
Euphorbia jacquemontii Boiss.,Euphorbia jacquemontii Boiss.,Native,0,0,0,1,1,0,0,0,0
Euphorbia maddenii Boiss.,Euphorbia maddenii Boiss.,Native,0,0,0,0,0,0,0,1,0
Euphorbia parviflora L.*,Euphorbia indica Lam.,Native,0,0,0,0,0,0,0,1,0
Euphorbia pilosa L.*,Euphorbia cornigera Boiss.,Native,0,0,1,0,0,1,0,0,0
Euphorbia stracheyi Boiss.,Euphorbia stracheyi Boiss.,Native,0,0,0,0,0,0,0,1,0
Fagopyrum esculentum Moench,Fagopyrum esculentum Moench,Introduced,0,1,0,0,0,1,0,0,0
Festuca kashmiriana Stapf,Festuca kashmiriana Stapf,Native,0,0,0,0,0,0,0,1,0
Festuca valesiaca Schleich. ex Gaudin,Festuca valesiaca Schleich. ex Gaudin,Native,0,0,0,0,0,0,0,1,0
Ficus neriifolia Sm.,Ficus neriifolia Sm.,Native,0,0,0,0,0,0,0,1,0
Ficus palmata Forssk.,Ficus palmata Forssk.,Native,0,0,0,0,0,0,0,0,1
Ficus religiosa L.,Ficus religiosa L.,NA,0,0,1,0,0,0,1,0,0
Ficus sarmentosa Buch.-Ham. ex Sm.,Ficus sarmentosa Buch.-Ham. ex Sm.,Native,0,0,0,0,0,0,0,1,0
Ficus semicordata Buch.-Ham. ex Sm.,Ficus semicordata Buch.-Ham. ex Sm.,Native,0,0,1,0,0,0,0,1,0
Filipendula vestita (Wall. ex G.Don) Maxim.,Filipendula vestita (Wall. ex G.Don) Maxim.,Native,0,0,0,0,0,0,0,1,0
Fragaria indica Andrews,Potentilla indica (Andrews) Th.Wolf,Native,1,0,0,0,0,1,0,0,0
Fragaria nubicola (Lindl. ex Hook.f.) Lacaita,Fragaria nubicola (Lindl. ex Hook.f.) Lacaita,Native,0,0,0,1,0,0,0,0,0
Fragaria vesca L.*,Fragaria nubicola (Lindl. ex Hook.f.) Lacaita,Native,0,0,0,0,0,1,0,0,0
Fritillaria cirrhosa D.Don,Fritillaria cirrhosa D.Don,Native,0,0,0,1,0,1,0,0,0
Gagea lutea (L.) Ker Gawl.,Gagea lutea (L.) Ker Gawl.,Native,0,0,0,0,0,0,0,1,0
Gagea serotina (L.) Ker Gawl.,Gagea serotina (L.) Ker Gawl.,Native,0,0,0,1,1,0,0,0,0
Galium asperuloides Edgew.,Galium asperuloides Edgew.,Native,0,0,0,1,0,0,0,0,0
Gaultheria trichophylla Royle,Gaultheria trichophylla Royle,Native,0,0,1,0,0,0,0,1,0
Gentiana argentea (Royle ex D.Don) Royle ex D.Don,Gentiana argentea (Royle ex D.Don) Royle ex D.Don,Native,0,0,1,1,0,0,0,0,0
Gentiana pedicellata (D.Don) Griseb.,Gentiana pedicellata (D.Don) Griseb.,Native,0,0,0,1,0,0,0,0,0
Gentianopsis paludosa (Hook.f.) Ma,Gentianopsis paludosa (Hook.f.) Ma,Native,0,0,0,0,0,0,0,1,0
Geranium lucidum L.,Geranium lucidum L.,Native,0,0,0,1,0,0,0,0,0
Geranium robertianum L.,Geranium robertianum L.,Native,0,0,0,0,0,1,0,1,0
Geranium wallichianum D.Don ex Sweet,Geranium wallichianum D.Don ex Sweet,Native,1,0,0,0,0,1,0,0,0
Gerbera gossypina (Royle) Beauverd,Oreoseris gossypina (Royle) X.D.Xu & V.A.Funk,Native,0,0,0,1,0,0,0,1,0
Gerbera lanuginosa (DC.) Sch.Bip.,Oreoseris gossypina (Royle) X.D.Xu & V.A.Funk,Native,0,0,0,0,0,1,0,0,0
Geum elatum Wall. ex G.Don,Geum elatum Wall. ex G.Don,Native,0,0,0,1,0,1,0,0,0
Gnaphalium hypoleucum DC.,Pseudognaphalium hypoleucum (DC.) Hilliard & B.L.Burtt,Native,0,0,0,0,0,1,0,0,0
Gnaphalium luteoalbum L.,Pseudognaphalium luteoalbum (L.) Hilliard & B.L.Burtt,Native,0,0,0,0,0,1,0,0,0
Goodyera biflora (Lindl.) Hook.f.,Goodyera biflora (Lindl.) Hook.f.,Native,0,0,0,0,0,0,0,1,0
Goodyera fusca (Lindl.) Hook.f.,Goodyera fusca (Lindl.) Hook.f.,Native,0,0,1,1,0,0,0,1,0
Goodyera repens (L.) R.Br.,Goodyera repens (L.) R.Br.,Native,0,0,0,1,0,1,0,1,0
Gypsophila cerastioides D.Don,Acanthophyllum cerastioides (D.Don) Madhani & Zarre,Native,0,0,0,1,0,1,0,0,0
Habenaria commelinifolia (Roxb.) Wall. ex Lindl.,Habenaria commelinifolia (Roxb.) Wall. ex Lindl.,Native,0,0,0,0,0,0,0,1,0
Habenaria intermedia D.Don,Habenaria intermedia D.Don,Native,0,0,1,0,0,0,0,0,0
Habenaria marginata Colebr.,Habenaria marginata Colebr.,Native,0,0,0,0,0,0,0,1,0
Habenaria pectinata D.Don,Habenaria pectinata D.Don,Native,0,0,1,0,0,0,0,1,0
Hackelia uncinata (Royle ex Benth.) C.E.C.Fisch.,Hackelia uncinata (Royle ex Benth.) C.E.C.Fisch.,Native,0,0,0,0,0,1,0,1,0
Halenia elliptica D.Don,Halenia elliptica D.Don,Native,0,0,0,1,0,1,0,1,0
Hedera nepalensis K.Koch,Hedera nepalensis K.Koch,Native,1,0,0,0,0,0,0,0,0
Hedychium spicatum Sm.,Hedychium spicatum Sm.,Native,0,0,1,0,0,0,1,0,0
Hedysarum microcalyx Baker,Hedysarum microcalyx Baker,Native,0,0,0,0,0,0,0,1,0
Hemiphragma heterophyllum Wall.,Hemiphragma heterophyllum Wall.,Native,0,0,0,0,0,0,0,1,0
Heracleum candicans Wall. ex DC.,Heracleum candicans Wall. ex DC.,Native,0,0,0,0,0,1,0,0,0
Herminium monorchis (L.) R.Br.,Herminium monorchis (L.) R.Br.,Native,0,0,0,0,0,0,0,1,0
Himalrandia tetrasperma (Wall. ex Roxb.) T.Yamaz.,Himalrandia tetrasperma (Wall. ex Roxb.) T.Yamaz.,Native,0,0,0,1,0,0,0,0,0
Hylotelephium ewersii (Ledeb.) H.Ohba,Hylotelephium ewersii (Ledeb.) H.Ohba,Native,0,0,0,0,0,0,0,1,0
Hymenidium brunonis (DC.) Lindl.,Hymenidium brunonis (DC.) Lindl.,Native,0,0,0,1,0,0,0,0,0
Hypericum cernuum Roxb. ex D.Don,Hypericum oblongifolium Choisy,Native,0,0,1,0,0,0,0,0,0
Hypericum choisyanum Wall. ex N.Robson,Hypericum choisyanum Wall. ex N.Robson,Native,0,0,0,0,0,0,0,1,0
Hypericum dyeri Rehder,Hypericum dyeri Rehder,Native,0,0,0,0,0,1,0,1,0
Hypericum elodeoides Choisy,Hypericum elodeoides Choisy,Native,0,0,0,0,0,1,0,0,0
Hypericum oblongifolium Choisy,Hypericum oblongifolium Choisy,Native,0,0,0,0,0,0,1,0,0
Hypericum perforatum L.,Hypericum perforatum L.,Native,0,0,0,0,0,0,1,1,0
Hypoxis aurea Lour.,Hypoxis aurea Lour.,Native,0,0,0,0,0,0,0,1,0
Ilex dipyrena Wall.,Ilex dipyrena Wall.,Native,1,0,0,0,0,0,0,0,0
Impatiens amplexicaulis Edgew.,Impatiens amplexicaulis Edgew.,Native,0,0,0,0,0,0,0,1,0
Impatiens arguta Hook.f. & Thomson,Impatiens arguta Hook.f. & Thomson,Native,0,0,0,0,0,0,0,1,0
Impatiens brachycentra Kar. & Kir.,Impatiens brachycentra Kar. & Kir.,Native,0,0,0,1,0,0,0,1,0
Impatiens devendrae Pusalkar,Impatiens devendrae Pusalkar,Native,0,0,0,1,0,0,0,0,0
Impatiens glandulifera Royle,Impatiens glandulifera Royle,Native,0,0,0,0,0,1,0,1,0
Impatiens glauca Hook.f. & Thomson,Impatiens glauca Hook.f. & Thomson,Native,0,0,0,0,0,0,0,1,0
Impatiens laxiflora Edgew.,Impatiens laxiflora Edgew.,Native,0,0,0,0,0,0,0,1,0
Impatiens leggei Pusalkar & D.K.Singh,Impatiens laxiflora Edgew.,Native,0,0,0,1,0,0,0,0,0
Impatiens micranthemum Edgew.,Impatiens laxiflora Edgew.,Native,0,0,0,0,0,1,0,0,0
Impatiens racemosa DC.,Impatiens racemosa DC.,Native,0,0,1,0,0,0,0,1,0
Impatiens sulcata Wall.,Impatiens sulcata Wall.,Native,0,0,0,1,0,0,0,1,0
Impatiens tricornis Lindl.,Impatiens tricornis Lindl.,Native,0,0,0,1,0,0,0,0,0
Impatiens urticifolia Wall.,Impatiens urticifolia Wall.,NA,0,0,0,0,0,1,0,0,0
Indigofera atropurpurea Buch.-Ham. ex Hornem.,Indigofera atropurpurea Buch.-Ham. ex Hornem.,Native,0,0,1,0,0,0,0,0,0
Indigofera cassioides Rottler ex DC.,Indigofera cassioides Rottler ex DC.,Native,0,0,0,1,0,0,0,0,0
Indigofera dosua Buch.-Ham. ex D.Don,Indigofera dosua Buch.-Ham. ex D.Don,Native,0,0,0,1,0,0,0,0,0
Indigofera exilis Grierson & D.G.Long,Indigofera exilis Grierson & D.G.Long,Native,0,0,0,1,0,0,0,0,0
Indigofera hamiltonii Graham ex Duthie & Prain,Indigofera atropurpurea Buch.-Ham. ex Hornem.,Native,0,0,0,1,0,0,0,0,0
Indigofera hebepetala Benth. ex Baker,Indigofera hebepetala Benth. ex Baker,Native,0,0,0,0,0,0,0,1,0
Indigofera heterantha Wall. ex Brandis,Indigofera heterantha Wall. ex Brandis,Native,0,0,0,1,0,0,0,1,0
Iris kemaonensis Wall. ex D.Don,Iris kemaonensis Wall. ex D.Don,Native,0,0,0,0,0,0,0,1,0
Jaeschkea canaliculata (Royle ex G.Don) Knobl.,Jaeschkea canaliculata (Royle ex G.Don) Knobl.,Native,0,0,0,0,0,0,0,1,0
Jasminum humile Gueldenst.,Chrysojasminum humile (L.) Banfi,Native,1,0,0,0,0,1,0,0,0
Juglans regia L.,Juglans regia L.,Native,0,0,1,0,0,1,1,1,1
Juncus concinnus D.Don,Juncus concinnus D.Don,Native,0,0,0,0,0,0,0,1,0
Juncus himalensis Klotzsch,Juncus himalensis Klotzsch,Native,0,0,0,0,0,0,0,1,0
Juncus thomsonii Buchenau,Juncus thomsonii Buchenau,Native,0,0,0,0,0,0,0,1,0
Juniperus recurva Buch.-Ham. ex D.Don,Juniperus recurva Buch.-Ham. ex D.Don,Native,0,1,0,0,0,1,0,0,0
Jurinea dolomiaea Boiss.,Dolomiaea macrocephala DC. ex Royle,Native,0,1,0,0,0,0,0,0,0
Justicia simplex D.Don,Rostellularia mollissima (Nees) Nees,Native,0,0,1,0,0,0,0,0,0
Kalanchoe spathulata DC.,Kalanchoe integra (Medik.) Kuntze,Native,0,0,0,0,0,1,0,0,0
Kobresia capillifolia (Decne.) C.B.Clarke,Carex capillifolia (Decne.) S.R.Zhang,Native,0,0,0,0,0,0,0,1,0
Kobresia duthiei C.B.Clarke,Carex clavispica S.R.Zhang,Native,0,0,0,0,0,0,0,1,0
Kobresia laxa Nees,Carex pseudolaxa (C.B.Clarke) O.Yano & S.R.Zhang,Native,0,0,0,0,0,0,0,1,0
Kobresia nepalensis (Nees) Kük.,Carex unciniiformis Boeckeler,Native,0,0,0,0,0,0,0,1,0
Kobresia pygmaea (C.B.Clarke) C.B.Clarke,Carex parvula O.Yano,Native,0,0,0,0,0,0,0,1,0
Koenigia delicatula (Meisn.) H.Hara,Koenigia delicatula (Meisn.) H.Hara,Native,0,0,1,0,0,0,0,0,0
Koenigia nepalensis D.Don*,Koenigia filicaulis (Wall. ex Meisn.) Hedberg,Native,0,0,1,1,0,0,0,0,0
Koenigia rumicifolia (Royle ex Bab.) T.M.Schust. & Reveal,Koenigia rumicifolia (Royle ex Bab.) T.M.Schust. & Reveal,Native,0,0,0,1,0,0,0,0,0
Lactuca brunoniana C.B.Clarke,Melanoseris brunoniana (Wall. ex DC.) N.Kilian & Ze H.Wang,Native,0,0,0,0,0,0,0,1,0
Lamium album L.,Lamium album L.,Native,0,0,0,0,0,1,0,1,0
Lathyrus emodi (Wall. ex Fritsch) Fritsch ex T.Durand & B.D.Jacks.,Lathyrus emodi (Wall. ex Fritsch) Fritsch ex T.Durand & B.D.Jacks.,Native,0,0,0,0,0,0,0,1,0
Lecanthus peduncularis (Royle) Wedd.,Lecanthus peduncularis (Royle) Wedd.,Native,0,0,0,0,0,0,0,1,0
Leea asiatica (L.) Ridsdale,Leea asiatica (L.) Ridsdale,Native,0,0,0,0,0,0,0,1,0
Leonurus cardiaca L.,Leonurus cardiaca L.,Introduced,0,0,0,0,0,0,0,1,0
Leptorhabdos parviflora (Benth.) Benth.,Leptorhabdos parviflora (Benth.) Benth.,Native,0,0,0,0,0,0,0,1,0
Lepyrodiclis holosteoides (C.A.Mey.) Fenzl ex Fisch. & C.A.Mey.,Lepyrodiclis holosteoides (C.A.Mey.) Fenzl ex Fisch. & C.A.Mey.,Native,0,0,0,0,0,0,0,1,0
Leucas cephalotes (Roth) Spreng.,Leucas cephalotes (Roth) Spreng.,Native,0,0,0,0,0,1,0,0,0
Leucas lanata Benth.,Leucas lanata Benth.,Native,0,1,0,1,0,0,0,0,0
Leycesteria formosa Wall.,Leycesteria formosa Wall.,Native,0,0,0,1,0,1,1,1,0
Ligularia amplexicaulis DC.,Ligularia amplexicaulis DC.,Native,0,0,0,0,0,1,0,1,0
Limonia acidissima L.,Limonia acidissima L.,NA,0,0,1,0,0,0,0,0,0
Lindelofia longiflora (DC.) Baill.,Lindelofia longiflora (DC.) Baill.,Native,0,0,0,0,0,0,0,1,0
Litsea polyantha Juss.,Litsea monopetala (Roxb.) Pers.,Native,0,0,1,0,0,0,0,0,0
Lloydia serotina (L.) Rchb.,Gagea serotina (L.) Ker Gawl.,Native,0,0,0,0,0,0,0,1,0
Lonicera angustifolia Hayata,Lonicera acuminata Wall.,Native,1,0,1,1,0,0,0,1,0
Lonicera asperifolia (Decne.) Hook.f. & Thomson,Lonicera asperifolia (Decne.) Hook.f. & Thomson,Native,0,0,0,0,0,0,0,1,0
Lonicera hispida Pall. ex Schult.,Lonicera hispida Pall. ex Schult.,Native,0,0,0,0,0,0,0,1,0
Lonicera hypoleuca Decne.,Lonicera hypoleuca Decne.,Native,0,0,0,0,0,0,0,1,0
Lonicera myrtillus Hook.f. & Thomson,Lonicera angustifolia Wall. ex DC.,Native,0,0,0,0,0,1,0,0,0
Lonicera obovata Royle ex Hook.f. & Thomson,Lonicera obovata Royle ex Hook.f. & Thomson,Native,0,0,0,1,0,0,0,1,0
Lonicera orientalis Lam.,Lonicera caucasica Pall.,Native,0,0,0,0,0,0,0,1,0
Lonicera quinquelocularis Hardw.,Lonicera quinquelocularis Hardw.,Native,0,0,1,1,0,0,0,1,0
Lonicera webbiana Wall. ex DC.,Lonicera webbiana Wall. ex DC.,Native,0,0,0,0,0,0,0,1,0
Lyonia ovalifolia (Wall.) Drude,Lyonia ovalifolia (Wall.) Drude,Native,0,0,0,0,0,0,1,1,1
Lysimachia ferruginea Edgew.*,Lysimachia chenopodioides Watt ex Hook.f.,Native,0,0,0,0,0,0,0,1,0
Malaxis acuminata D.Don,Crepidium acuminatum (D.Don) Szlach.,Native,0,0,0,0,0,0,0,1,0
Malaxis muscifera (Lindl.) Kuntze,Malaxis muscifera (Lindl.) Kuntze,Native,0,0,1,0,0,0,0,1,0
Malva neglecta Wallr.,Malva neglecta Wallr.,Native,0,0,0,0,0,0,0,1,0
Mazus rugosus Lour.,Mazus pumilus (Burm.f.) Steenis,Native,0,0,0,0,0,1,0,0,0
Meconopsis aculeata Royle,Meconopsis aculeata Royle,Native,0,0,0,0,0,1,0,1,0
Meliosma dilleniifolia (Wall. ex Wight & Arn.) Walp.,Meliosma dilleniifolia (Wall. ex Wight & Arn.) Walp.,Native,1,0,0,0,0,0,0,0,0
Mentha longifolia (L.) L.,Mentha longifolia (L.) L.,Native,0,1,0,0,0,1,0,0,0
Meriandra strobilifera Benth.,Salvia strobilifera (Benth.) J.G.González,Native,0,0,0,1,0,0,0,0,0
Mertensia racemosa (Royle ex Benth.) C.B.Clarke,Decalepidanthus racemosus (Royle ex Benth.) Dickoré & Hilger,Native,0,0,0,0,0,1,0,1,0
Mesostemma latifolium (Benth. ex G.Don) Ikonn.,Mesostemma latifolium (Benth. ex G.Don) Ikonn.,Native,0,0,0,0,1,0,0,0,0
Micromeria biflora (Buch.-Ham. ex D.Don) Benth.,Micromeria biflora (Buch.-Ham. ex D.Don) Benth.,Native,0,0,1,1,0,1,0,0,0
Milium effusum L.,Milium effusum L.,Native,1,0,0,0,0,0,0,0,0
Morina longifolia Wall. ex DC.,Morina longifolia Wall. ex DC.,Native,0,0,1,0,0,1,0,0,0
Morus indica Ser.,Streblus asper Lour.,Native,0,0,1,0,0,0,0,0,0
Muhlenbergia himalayensis Hack. ex Hook.f.,Muhlenbergia himalayensis Hack. ex Hook.f.,Native,0,0,0,0,0,0,0,1,0
Myosotis sylvatica Ehrh. ex Hoffm.,Myosotis sylvatica Ehrh. ex Hoffm.,Native,0,0,0,0,0,0,0,1,0
Myosoton aquaticum (L.) Moench,Stellaria aquatica (L.) Scop.,Native,0,0,0,0,0,0,0,1,0
Myriactis nepalensis Less.,Myriactis nepalensis Less.,Native,0,0,0,1,0,0,0,0,0
Myrsine semiserrata Wall.,Myrsine semiserrata Wall.,Native,0,0,0,0,0,0,0,1,0
Neanotis hirsuta (L.f.) W.H.Lewis,Neanotis hirsuta (L.f.) W.H.Lewis,NA,0,0,0,0,0,0,0,1,0
Neolitsea lanuginosa (Nees) Gamble,Neolitsea cuipala (D.Don) Kosterm.,Native,0,0,0,0,0,0,0,1,0
Neolitsea pallens (D.Don) Momiy. & H.Hara,Neolitsea pallens (D.Don) Momiy. & H.Hara,Native,0,0,0,0,0,0,0,0,1
Neolitsea umbrosa (Nees) Gamble,Neolitsea umbrosa (Nees) Gamble,NA,0,0,0,0,0,0,0,1,0
Neottia listeroides Lindl.,Neottia listeroides Lindl.,Native,0,0,1,1,0,0,0,0,0
Nepeta connata Royle ex Benth.,Nepeta connata Royle ex Benth.,Native,0,0,0,0,0,0,0,1,0
Nepeta laevigata (D.Don) Hand.-Mazz.,Nepeta laevigata (D.Don) Hand.-Mazz.,Native,0,0,0,0,0,0,0,1,0
Nepeta lamiopsis Benth. ex Hook.f.,Nepeta lamiopsis Benth. ex Hook.f.,Native,0,0,0,0,0,1,0,0,0
Nepeta podostachys Benth.,Nepeta podostachys Benth.,Native,0,0,0,1,0,0,0,0,0
Ocimum sanctum L.,Ocimum tenuiflorum L.,Native,0,0,0,0,0,0,1,0,0
Ophiopogon intermedius D.Don,Ophiopogon intermedius D.Don,Native,0,0,0,1,0,1,0,1,0
Oplismenus undulatifolius (Ard.) P.Beauv.,Oplismenus undulatifolius (Ard.) P.Beauv.,Native,1,0,0,0,0,0,0,0,0
Oreoseris nivea DC.,Oreoseris nivea DC.,Native,0,0,0,0,1,0,0,0,0
Origanum vulgare L.,Origanum vulgare L.,Native,0,0,0,0,0,1,0,0,0
Orobanche alba Stephan ex Willd.,Orobanche alba Stephan ex Willd.,Native,0,0,0,0,0,0,0,1,0
Oroxylum indicum (L.) Kurz,Oroxylum indicum (L.) Kurz,Native,0,0,1,0,0,0,0,0,0
Oxyria digyna (L.) Hill,Oxyria digyna (L.) Hill,Native,0,0,0,0,0,1,0,0,0
Papaver dubium L.,Papaver dubium L.,Native,0,0,0,0,0,1,0,0,0
Paris polyphylla Sm.,Paris polyphylla Sm.,Native,0,0,0,0,0,0,0,1,0
Pedicularis bicornuta Klotzsch,Pedicularis bicornuta Klotzsch,Native,0,0,1,0,0,0,0,1,0
Pedicularis gracilis Wall. ex Benth.,Pedicularis gracilis Wall. ex Benth.,Native,0,0,0,0,0,0,0,1,0
Pedicularis hoffmeisteri Klotzsch,Pedicularis hoffmeisteri Klotzsch,Native,0,0,0,0,0,0,0,1,0
Pedicularis longiflora Rudolph,Pedicularis longiflora Rudolph,Native,0,0,0,0,0,0,0,1,0
Pedicularis pectinata Wall. ex Benth.,Pedicularis pectinata Wall. ex Benth.,Native,0,0,0,0,0,1,0,1,0
Pedicularis punctata Decne.,Pedicularis punctata Decne.,Native,0,0,0,0,0,0,0,1,0
Pedicularis pyramidata Royle ex Benth.,Pedicularis pyramidata Royle ex Benth.,Native,0,0,0,0,0,0,0,1,0
Pedicularis siphonantha D.Don,Pedicularis siphonantha D.Don,Native,0,0,1,0,0,0,0,0,0
Pergularia roylei (Wight) D.Dietr.,Marsdenia roylei Wight,Native,0,0,0,0,0,0,0,1,0
Peristylus duthiei (Hook.f.) Deva & H.B.Naithani,Herminium josephi Rchb.f.,Native,0,0,0,1,0,0,0,0,0
Peristylus elisabethae (Duthie) R.K.Gupta,Herminium elisabethae (Duthie) Tang & F.T.Wang,Native,0,0,1,0,0,0,0,0,0
Persea odoratissima (Nees) Kosterm.,Machilus odoratissimus Nees,Native,0,0,0,0,0,0,0,1,0
Persicaria alata (D.Don) Nakai,Persicaria nepalensis (Meisn.) H.Gross,Native,0,0,0,0,0,1,0,0,0
Persicaria vivipara (L.) Ronse Decr.,Bistorta vivipara (L.) Delarbre,Native,0,0,0,0,0,0,0,1,0
Persicaria wallichii Greuter & Burdet,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,Native,0,0,0,0,0,0,0,1,0
Phacelurus speciosus (Steud.) C.E.Hubb.,Phacelurus speciosus (Steud.) C.E.Hubb.,Native,0,0,0,0,0,0,0,1,0
Phleum alpinum L.,Phleum alpinum L.,Native,0,0,0,0,0,0,0,1,0
Phleum himalaicum Mez,Phleum himalaicum Mez,Native,0,0,0,0,0,0,0,1,0
Phlomis bracteosa Royle ex Benth.,Phlomoides bracteosa (Royle ex Benth.) Kamelin & Makhm.,Native,0,0,0,0,0,1,0,0,0
Phlomis macrophylla Benth.,Phlomoides macrophylla (Benth.) Kamelin & Makhm.,Native,0,0,0,0,0,0,0,1,0
Phlomoides bracteosa (Royle ex Benth.) Kamelin & Makhm.,Phlomoides bracteosa (Royle ex Benth.) Kamelin & Makhm.,Native,0,0,0,1,0,0,0,0,0
Phytolacca acinosa Roxb.,Phytolacca acinosa Roxb.,Native,0,0,0,0,0,0,1,1,0
Picea smithiana (Wall.) Boiss.,Picea smithiana (Wall.) Boiss.,Native,1,0,0,0,0,1,0,1,1
Picrorhiza kurroa Royle ex Benth.,Picrorhiza kurroa Royle ex Benth.,Native,0,1,0,0,0,1,0,0,0
Pilea umbrosa Wedd. ex Blume,Pilea umbrosa Wedd. ex Blume,Native,0,0,1,0,0,1,0,0,0
Pimpinella diversifolia DC.,Pimpinella diversifolia DC.,Native,0,0,0,0,0,1,0,0,0
Pinus excelsa Wall. ex D.Don,Pinus wallichiana A.B.Jacks.,Native,0,0,1,0,0,0,0,0,0
Pinus longifolia Roxb. ex Lamb.,Pinus roxburghii Sarg.,Native,0,0,1,0,0,0,0,0,0
Pinus roxburghii Sarg.,Pinus roxburghii Sarg.,Native,0,0,0,0,0,1,1,0,0
Pinus wallichiana A.B.Jacks.,Pinus wallichiana A.B.Jacks.,Native,1,0,0,0,0,0,0,1,0
Piptanthus nepalensis (Hook.) Sweet,Piptanthus nepalensis (Hook.) Sweet,Native,0,0,0,0,0,1,0,1,0
Plantago depressa Willd.,Plantago depressa Willd.,Native,0,1,0,0,0,1,0,0,0
Platanthera clavigera Lindl.,"Herminium clavigerum (Lindl.) X.H.Jin, Schuit., Raskoti & Lu Q.Huang",Native,0,0,0,0,0,0,0,1,0
Platanthera edgeworthii (Hook.f. ex Collett) R.K.Gupta,"Herminium edgeworthii (Hook.f. ex Collett) X.H.Jin, Schuit., Raskoti & Lu Q.Huang",Native,0,0,1,1,0,0,0,1,0
Pleurospermum brunonis (DC.) Benth. ex C.B.Clarke,Hymenidium brunonis (DC.) Lindl.,Native,0,1,0,0,0,1,0,1,0
Pleurospermum candollei (DC.) Benth. ex C.B.Clarke,Hymenolaena candollei DC.,Native,0,0,0,0,0,0,0,1,0
Pleurospermum stellatum (D.Don) Benth. ex C.B.Clarke,Hymenidium stellatum (D.Don) Pimenov & Kljuykov,Native,0,0,0,0,0,0,0,1,0
Poa alpina L.,Poa alpina L.,Native,0,0,0,0,0,0,0,1,0
Poa nemoralis L.,Poa nemoralis L.,Native,0,0,0,0,0,0,0,1,0
Poa stapfiana Bor,Poa stapfiana Bor,Native,0,0,0,0,0,0,0,1,0
Podophyllum hexandrum Royle,Podophyllum hexandrum Royle,Native,0,1,0,0,0,0,0,0,0
Polemonium caeruleum L.,Polemonium caeruleum L.,Native,0,0,0,0,0,0,0,1,0
Polygala crotalarioides Buch.-Ham. ex DC.,Polygala crotalarioides Buch.-Ham. ex DC.,Native,0,0,0,0,0,0,0,1,0
Polygala hottentotta C.Presl*,Polygala abyssinica R.Br. ex Fresen.,Native,0,0,0,0,0,0,0,1,0
Polygonatum cirrhifolium (Wall.) Royle,Polygonatum cirrhifolium (Wall.) Royle,Native,0,0,0,0,0,0,0,1,0
Polygonatum multiflorum (L.) All.*,Polygonatum geminiflorum Decne.,Native,0,0,0,0,0,1,0,0,0
Polygonatum verticillatum (L.) All.,Polygonatum verticillatum (L.) All.,Native,1,0,0,0,0,1,0,1,0
Polygonum amplexicaule D.Don,Bistorta amplexicaulis (D.Don) Greene,Native,0,0,1,0,0,0,0,0,0
Polygonum aviculare L.,Polygonum aviculare L.,Native,0,0,1,0,0,0,0,0,0
Polygonum capitatum Buch.-Ham. ex D.Don,Persicaria capitata (Buch.-Ham. ex D.Don) H.Gross,Native,0,0,1,0,0,0,0,0,0
Polygonum delicatulum Meisn.,Koenigia delicatula (Meisn.) H.Hara,Native,0,0,0,0,0,0,0,1,0
Polygonum effusum Meisn.,Polygonum effusum Meisn.,Native,0,0,1,0,0,0,0,0,0
Polygonum filicaule Wall. ex Meisn.,Koenigia filicaulis (Wall. ex Meisn.) Hedberg,Native,0,0,0,0,0,0,0,1,0
