given_name,POWOAccepted,POWODist,Champion1968,Choudhary2007,Choudhary2012,eFI2022,FOI2022,Gupta1998,Radha2019,Subramani2014,Thakur2021a
Anemone rivularis Buch.-Ham. ex DC.,Eriocapitella rivularis (Buch.-Ham. ex DC.) Christenh. & Byng,Native,1,0,0,0,0,0,0,0,0
Anemone tetrasepala Royle,Anemonastrum tetrasepalum (Royle) Holub,Native,0,0,0,0,0,1,0,0,0
Anemone vitifolia Buch.-Ham. ex DC.,Eriocapitella vitifolia (Buch.-Ham. ex DC.) Nakai,Native,0,0,1,0,0,1,0,0,0
Angelica glauca Edgew.,Angelica glauca Edgew.,Native,0,1,0,0,0,1,0,1,0
Apium graveolens L.,Apium graveolens L.,Native,0,0,0,1,0,0,0,0,0
Aquilegia pubiflora Wall. ex Royle,Aquilegia pubiflora Wall. ex Royle,Native,0,0,0,1,0,0,0,1,0
Arabis pterosperma Edgew.,Arabis pterosperma Edgew.,Native,0,0,0,0,0,0,0,1,0
Arenaria festucoides Benth.,Eremogone festucoides (Benth.) Pusalkar & D.K.Singh,Native,0,0,0,0,0,0,0,1,0
Argemone mexicana L.,Argemone mexicana L.,Introduced,0,0,0,0,0,0,1,0,0
Argostemma sarmentosum Wall.,Argostemma sarmentosum Wall.,Native,0,0,0,1,0,0,0,0,0
Argostemma verticillatum Wall.,Argostemma verticillatum Wall.,Native,0,0,0,0,0,0,0,1,0
Arisaema costatum (Wall.) Mart.,Arisaema costatum (Wall.) Mart.,Native,0,0,0,0,0,1,0,0,0
Arisaema flavum (Forssk.) Schott,Arisaema flavum (Forssk.) Schott,Native,0,1,0,0,0,1,0,1,0
Arisaema intermedium Blume,Arisaema intermedium Blume,Native,0,0,0,0,0,0,0,1,0
Arisaema jacquemontii Blume,Arisaema jacquemontii Blume,Native,0,0,1,0,0,0,0,0,0
Arisaema utile Hook.f. ex Schott,Arisaema utile Hook.f. ex Schott,Native,0,0,0,0,0,0,0,1,0
Artemisia indica Willd.,Artemisia indica Willd.,Native,0,0,0,0,0,0,0,1,0
Artemisia roxburghiana Besser,Artemisia roxburghiana Besser,Native,0,0,0,0,0,1,0,0,0
Artemisia vulgaris L.,Artemisia vulgaris L.,Native,0,1,0,0,0,1,0,0,0
Arundinaria falcata Nees,Drepanostachyum falcatum (Nees) Keng f.,Native,1,0,0,0,0,0,0,0,0
Arundinaria jaunsarensis Gamble,Yushania anceps (Mitford) W.C.Lin,Native,1,0,0,0,0,0,0,0,0
Arundinaria spathiflora Trin.,Thamnocalamus spathiflorus (Trin.) Munro,Native,0,0,1,0,0,0,0,0,0
Arundinella nepalensis Trin.,Arundinella nepalensis Trin.,Native,0,0,0,0,0,0,0,1,0
Asclepias curassavica L.,Asclepias curassavica L.,Introduced,0,0,0,0,0,1,0,0,0
Aspidium aculeatum (L.) Sw.,Polystichum aculeatum (L.) Roth,Native,1,0,0,0,0,0,0,0,0
Aster molliusculus (Lindl. ex DC.) C.B.Clarke,Aster molliusculus (Lindl. ex DC.) C.B.Clarke,Native,0,0,0,0,0,1,0,1,0
Aster peduncularis Wall. ex Nees,Cordiofontis peduncularis (Wall. ex Nees) G.L.Nesom,Native,0,0,0,0,0,1,0,0,0
Aster thomsonii C.B.Clarke,Cordiofontis flexuosa (Royle ex Lindl.) G.L.Nesom,Native,0,0,1,0,0,0,0,0,0
Astilbe rivularis Buch.-Ham. ex D.Don,Astilbe rivularis Buch.-Ham. ex D.Don,Native,0,0,0,0,0,1,0,1,0
Bauhinia variegata L.,Bauhinia variegata L.,Doubtful,0,0,1,0,0,0,1,0,0
Begonia picta Sm.,Begonia picta Sm.,Native,0,0,1,0,0,0,0,0,0
Berberis angulosa Wall. ex Hook.f. & Thomson,Berberis angulosa Wall. ex Hook.f. & Thomson,NA,0,0,0,0,0,1,0,0,0
Berberis aristata DC.,Berberis aristata DC.,Native,0,0,1,1,0,0,0,1,0
Berberis coriaria Royle ex Lindl.,Berberis coriaria Royle ex Lindl.,Native,0,0,0,0,0,0,0,1,0
Berberis jaeschkeana C.K.Schneid.,Berberis jaeschkeana C.K.Schneid.,Native,0,0,0,0,0,0,0,1,0
Berberis lycium Royle,Berberis lycium Royle,Native,0,0,0,1,0,0,1,0,0
Bergenia ciliata (Haw.) Sternb.,Bergenia ciliata (Haw.) Sternb.,Native,0,1,0,0,0,1,0,0,0
Bergenia stracheyi (Hook.f. & Thomson) Engl.,Bergenia stracheyi (Hook.f. & Thomson) Engl.,Native,0,0,0,0,0,1,0,0,0
Betula alnoides Buch.-Ham. ex D.Don,Betula alnoides Buch.-Ham. ex D.Don,Native,1,0,1,0,0,0,0,0,0
Betula utilis D.Don,Betula utilis D.Don,Native,1,1,0,0,0,1,1,1,1
Bidens tripartita L.,Bidens tripartita L.,Native,0,0,0,0,0,0,0,1,0
Bistorta affinis (D.Don) Greene,Bistorta affinis (D.Don) Greene,Native,0,0,0,1,0,1,0,1,0
Bistorta amplexicaulis (D.Don) Greene,Bistorta amplexicaulis (D.Don) Greene,Native,0,0,0,0,0,1,0,0,0
Bistorta emodi (Meisn.) H.Hara,Bistorta emodi (Meisn.) H.Hara,Native,0,0,0,0,0,0,0,1,0
Bistorta vivipara (L.) Delarbre,Bistorta vivipara (L.) Delarbre,Native,0,0,0,1,0,0,0,0,0
Boehmeria platyphylla D.Don,Boehmeria virgata (G.Forst.) Guill.,Native,0,0,0,0,0,1,0,0,0
Boenninghausenia albiflora (Hook.) Rchb. ex Meisn.,Boenninghausenia albiflora (Hook.) Rchb. ex Meisn.,Native,0,1,0,0,0,1,0,0,0
Brachiaria villosa (Lam.) A.Camus,Urochloa villosa (Lam.) T.Q.Nguyen,Native,0,0,0,0,0,0,0,1,0
Brachypodium sylvaticum (Huds.) P.Beauv.,Brachypodium sylvaticum (Huds.) P.Beauv.,Native,1,0,0,0,0,0,0,0,0
Bromus asper Murray,Bromus ramosus Huds.,Native,1,0,0,0,0,0,0,0,0
Bromus japonicus Houtt.,Bromus japonicus Houtt.,Native,1,0,0,0,0,0,0,0,0
Bromus ramosus Huds.,Bromus ramosus Huds.,Native,0,0,0,0,0,0,0,1,0
Buddleja paniculata Wall.*,Buddleja asiatica Lour.,Native,0,0,1,0,0,0,0,0,0
Bupleurum aitchisonii (Boiss.) H.Wolff,Bupleurum aitchisonii (Boiss.) H.Wolff,Native,0,0,0,0,0,0,0,1,0
Bupleurum candollei Wall. ex DC.,Bupleurum candollei Wall. ex DC.,Native,0,0,1,0,0,0,0,0,0
Bupleurum falcatum L.*,Bupleurum marginatum Wall. ex DC.,Native,0,0,0,0,0,0,0,1,0
Bupleurum lanceolatum Wall. ex DC.,Bupleurum lanceolatum Wall. ex DC.,Native,0,0,0,0,0,0,0,1,0
Bupleurum longicaule Wall. ex DC.,Bupleurum longicaule Wall. ex DC.,Native,0,0,0,1,0,1,0,0,0
Bupleurum maddenii C.B.Clarke,Bupleurum maddenii C.B.Clarke,Native,0,0,0,0,0,0,0,1,0
Bupleurum tenue Buch.-Ham. ex D.Don,Bupleurum hamiltonii N.P.Balakr.,Native,0,0,0,0,0,1,0,0,0
Buxus wallichiana Baill.,Buxus wallichiana Baill.,Native,0,0,0,0,0,0,0,1,1
Calamagrostis emodensis Griseb.,Calamagrostis emodensis Griseb.,Native,0,0,0,0,0,0,0,1,0
Calamagrostis pseudophragmites (Haller f.) Koeler,Calamagrostis pseudophragmites (Haller f.) Koeler,Native,0,0,0,0,0,0,0,1,0
Calanthe tricarinata Lindl.,Calanthe tricarinata Lindl.,Native,0,0,0,1,0,1,0,1,0
Calotropis procera (Aiton) W.T.Aiton,Calotropis procera (Aiton) W.T.Aiton,NA,0,0,0,0,0,1,0,0,0
Caltha palustris L.,Caltha palustris L.,Native,0,0,0,0,0,1,0,0,0
Caltha palustris var. alba (Cambess.) Hook.f. & Thomson,Caltha alba Cambess.,Native,0,0,0,1,0,0,0,0,0
Campanula argyrotricha Wall. ex A.DC.,Campanula argyrotricha Wall. ex A.DC.,Native,0,0,0,0,0,1,0,1,0
Campanula latifolia L.,Campanula latifolia L.,Native,0,0,0,0,0,0,0,1,0
Campanula pallida Wall.,Campanula pallida Wall.,Native,0,0,0,0,0,1,0,0,0
Cannabis sativa L.,Cannabis sativa L.,Introduced,0,0,1,0,0,0,1,0,0
Caragana brevispina Benth.,Caragana brevispina Benth.,Native,0,0,0,0,0,0,0,1,0
Cardamine macrophylla Willd.,Cardamine macrophylla Willd.,Native,0,0,0,0,0,0,0,1,0
Cardiocrinum giganteum (Wall.) Makino,Cardiocrinum giganteum (Wall.) Makino,Native,0,0,0,0,0,0,0,1,0
Carex filicina Nees,Carex filicina Nees,Native,0,0,0,0,0,0,0,1,0
Carex haematostoma Nees,Carex haematostoma Nees,Native,0,0,0,0,0,0,0,1,0
Carex hebecarpa C.A.Mey.,Carex hebecarpa C.A.Mey.,Native,0,0,0,0,0,0,0,1,0
Carex nivalis Boott,Carex nivalis Boott,Native,0,0,0,0,0,0,0,1,0
Carex norvegica Retz.,Carex norvegica Retz.,Native,0,0,0,0,0,0,0,1,0
Carex obscura Nees,Carex obscura Nees,Native,0,0,0,0,0,0,0,1,0
Carex remota L.,Carex remota L.,Native,0,0,0,0,0,0,0,1,0
Carex wallichiana Spreng.,Carex wallichiana Spreng.,Native,0,0,0,0,0,0,0,1,0
Carpesium cernuum L.,Carpesium cernuum L.,Native,0,0,0,0,0,0,0,1,0
Cassiope fastigiata (Wall.) D.Don,Cassiope fastigiata (Wall.) D.Don,Native,0,0,0,0,0,1,0,1,0
Cautleya spicata (Sm.) Baker,Cautleya spicata (Sm.) Baker,Native,0,0,1,0,0,0,0,0,0
Cedrela serrata Royle,Toona sinensis (A.Juss.) M.Roem.,NA,0,0,1,0,0,0,0,0,0
Cedrela toona Roxb. ex Rottler & Willd.,Toona ciliata M.Roem.,NA,0,0,1,0,0,0,0,0,0
Cedrus deodara (Roxb. ex D.Don) G.Don,Cedrus deodara (Roxb. ex D.Don) G.Don,Native,1,1,1,0,0,1,0,0,0
Cephalanthera longifolia (L.) Fritsch,Cephalanthera longifolia (L.) Fritsch,Native,0,0,0,1,0,0,0,1,0
Cephalorrhynchus macrorhizus (Royle) Tuisl,Melanoseris macrorhiza (Royle) N.Kilian,Native,0,0,0,0,0,0,0,1,0
Cerasus cerasoides (Buch.-Ham. ex D.Don) S.Ya.Sokolov,Prunus cerasoides Buch.-Ham. ex D.Don,Native,0,0,0,0,0,0,0,1,0
Chaerophyllum reflexum Lindl.,Chaerophyllum reflexum Lindl.,Native,0,0,0,0,0,0,0,1,0
Chaerophyllum villosum Wall. ex DC.,Chaerophyllum villosum Wall. ex DC.,Native,0,0,0,0,0,0,0,1,0
Chamaecrista nomame (Makino) H.Ohashi,Chamaecrista nomame (Makino) H.Ohashi,Native,0,0,0,0,0,0,0,1,0
Chenopodium album L.,Chenopodium album L.,Native,0,0,0,0,0,0,1,0,0
Chionanthus ramiflorus Roxb.,Chionanthus ramiflorus Roxb.,Native,0,0,0,0,0,0,0,1,0
Chirita bifolia D.Don,Henckelia bifolia (D.Don) A.Dietr.,Native,0,0,1,0,0,0,0,1,0
Chrysopogon serrulatus Trin.,Chrysopogon serrulatus Trin.,Native,0,0,0,0,0,0,0,1,0
Cicerbita macrorhiza (Royle) Beauverd,Melanoseris macrorhiza (Royle) N.Kilian,Native,0,0,0,0,0,1,0,0,0
Cinnamomum tamala (Buch.-Ham.) T.Nees & C.H.Eberm.,Cinnamomum tamala (Buch.-Ham.) T.Nees & C.H.Eberm.,Native,0,0,1,0,0,0,0,0,0
Circaea alpina L.,Circaea alpina L.,Native,0,0,0,0,0,0,0,1,0
Cirsium falconeri (Hook.f.) Petr.,Cirsium falconeri (Hook.f.) Petr.,Native,0,0,1,0,0,0,0,0,0
Cissampelos pareira L.,Cissampelos pareira L.,Native,0,0,1,0,0,0,0,0,0
Clematis barbellata Edgew.,Clematis barbellata Edgew.,Native,1,0,0,0,0,0,0,1,0
Clematis buchananiana DC.,Clematis buchananiana DC.,Native,0,0,0,0,0,1,0,0,0
Clematis montana Buch.-Ham. ex DC.,Clematis montana Buch.-Ham. ex DC.,Native,1,0,0,0,0,1,0,0,0
Clintonia udensis Trautv. & C.A.Mey.,Clintonia udensis Trautv. & C.A.Mey.,Native,0,0,0,0,0,0,0,1,0
