elevation,mde,species,site
2600,315,561,Churdhar
2700,293,561,Churdhar
2800,283,561,Churdhar
2900,257,561,Churdhar
3000,232,561,Churdhar
3100,201,561,Churdhar
3200,141,561,Churdhar
3300,101,561,Churdhar
3400,58,561,Churdhar
1700,77,611,Churdhar
1800,131,611,Churdhar
1900,195,611,Churdhar
2000,249,611,Churdhar
2100,293,611,Churdhar
2200,311,611,Churdhar
2300,333,611,Churdhar
2400,339,611,Churdhar
2500,345,611,Churdhar
2600,347,611,Churdhar
2700,344,611,Churdhar
2800,314,611,Churdhar
2900,282,611,Churdhar
3000,241,611,Churdhar
3100,206,611,Churdhar
3200,161,611,Churdhar
3300,119,611,Churdhar
3400,61,611,Churdhar
1700,77,661,Churdhar
1800,143,661,Churdhar
1900,200,661,Churdhar
2000,237,661,Churdhar
2100,273,661,Churdhar
2200,305,661,Churdhar
2300,322,661,Churdhar
2400,344,661,Churdhar
2500,359,661,Churdhar
2600,357,661,Churdhar
2700,356,661,Churdhar
2800,336,661,Churdhar
2900,307,661,Churdhar
3000,272,661,Churdhar
3100,225,661,Churdhar
3200,190,661,Churdhar
3300,127,661,Churdhar
3400,64,661,Churdhar
1700,82,711,Churdhar
1800,154,711,Churdhar
1900,221,711,Churdhar
2000,269,711,Churdhar
2100,320,711,Churdhar
2200,350,711,Churdhar
2300,385,711,Churdhar
2400,400,711,Churdhar
2500,401,711,Churdhar
2600,407,711,Churdhar
2700,401,711,Churdhar
2800,384,711,Churdhar
2900,354,711,Churdhar
3000,310,711,Churdhar
3100,260,711,Churdhar
3200,202,711,Churdhar
3300,143,711,Churdhar
3400,73,711,Churdhar
1700,82,761,Churdhar
1800,153,761,Churdhar
1900,215,761,Churdhar
2000,268,761,Churdhar
2100,326,761,Churdhar
2200,362,761,Churdhar
2300,382,761,Churdhar
2400,405,761,Churdhar
2500,436,761,Churdhar
2600,436,761,Churdhar
2700,416,761,Churdhar
2800,391,761,Churdhar
2900,354,761,Churdhar
3000,313,761,Churdhar
3100,265,761,Churdhar
3200,199,761,Churdhar
3300,153,761,Churdhar
3400,79,761,Churdhar
400,58,959,All
500,119,959,All
600,181,959,All
700,229,959,All
800,291,959,All
900,326,959,All
1000,370,959,All
1100,388,959,All
1200,431,959,All
1300,453,959,All
1400,462,959,All
1500,479,959,All
1600,496,959,All
1700,493,959,All
1800,500,959,All
1900,515,959,All
2000,525,959,All
2100,510,959,All
2200,503,959,All
2300,493,959,All
2400,469,959,All
2500,434,959,All
2600,408,959,All
2700,384,959,All
2800,350,959,All
2900,314,959,All
3000,262,959,All
3100,224,959,All
3200,180,959,All
3300,122,959,All
3400,60,959,All
400,65,1009,All
500,126,1009,All
600,181,1009,All
700,233,1009,All
800,301,1009,All
900,337,1009,All
1000,374,1009,All
1100,403,1009,All
1200,432,1009,All
1300,464,1009,All
1400,491,1009,All
1500,512,1009,All
1600,530,1009,All
1700,546,1009,All
1800,543,1009,All
1900,533,1009,All
2000,526,1009,All
2100,534,1009,All
2200,520,1009,All
2300,510,1009,All
2400,498,1009,All
2500,474,1009,All
2600,436,1009,All
2700,395,1009,All
2800,367,1009,All
2900,335,1009,All
3000,301,1009,All
3100,248,1009,All
3200,193,1009,All
3300,145,1009,All
3400,79,1009,All
400,61,1059,All
500,122,1059,All
600,180,1059,All
700,219,1059,All
800,260,1059,All
900,321,1059,All
1000,366,1059,All
1100,403,1059,All
1200,456,1059,All
1300,493,1059,All
1400,516,1059,All
1500,531,1059,All
1600,540,1059,All
1700,559,1059,All
1800,575,1059,All
1900,575,1059,All
2000,567,1059,All
2100,558,1059,All
2200,549,1059,All
2300,538,1059,All
2400,522,1059,All
2500,499,1059,All
2600,466,1059,All
2700,434,1059,All
2800,408,1059,All
2900,367,1059,All
3000,316,1059,All
3100,255,1059,All
3200,196,1059,All
3300,136,1059,All
3400,75,1059,All
400,63,1109,All
500,137,1109,All
600,205,1109,All
700,256,1109,All
800,309,1109,All
900,355,1109,All
1000,388,1109,All
1100,433,1109,All
1200,487,1109,All
1300,511,1109,All
1400,547,1109,All
1500,561,1109,All
1600,574,1109,All
1700,595,1109,All
1800,595,1109,All
1900,606,1109,All
2000,613,1109,All
2100,595,1109,All
2200,577,1109,All
2300,574,1109,All
2400,552,1109,All
2500,512,1109,All
2600,492,1109,All
2700,464,1109,All
2800,422,1109,All
2900,368,1109,All
3000,310,1109,All
3100,256,1109,All
3200,191,1109,All
3300,130,1109,All
3400,63,1109,All
400,82,1159,All
500,149,1159,All
600,215,1159,All
700,272,1159,All
800,320,1159,All
900,380,1159,All
1000,440,1159,All
1100,473,1159,All
1200,492,1159,All
1300,532,1159,All
1400,554,1159,All
1500,573,1159,All
1600,592,1159,All
1700,608,1159,All
1800,604,1159,All
1900,621,1159,All
2000,616,1159,All
2100,628,1159,All
2200,621,1159,All
2300,602,1159,All
2400,591,1159,All
2500,558,1159,All
2600,513,1159,All
2700,473,1159,All
2800,436,1159,All
2900,373,1159,All
3000,327,1159,All
3100,272,1159,All
3200,215,1159,All
3300,154,1159,All
3400,86,1159,All
400,78,1209,All
500,146,1209,All
600,221,1209,All
700,289,1209,All
800,356,1209,All
900,408,1209,All
1000,463,1209,All
1100,501,1209,All
1200,537,1209,All
1300,562,1209,All
1400,592,1209,All
1500,610,1209,All
1600,626,1209,All
1700,630,1209,All
1800,640,1209,All
1900,642,1209,All
2000,640,1209,All
2100,629,1209,All
2200,622,1209,All
2300,603,1209,All
2400,583,1209,All
2500,558,1209,All
2600,510,1209,All
2700,475,1209,All
2800,442,1209,All
2900,397,1209,All
3000,342,1209,All
3100,276,1209,All
3200,227,1209,All
3300,156,1209,All
3400,87,1209,All
400,75,1259,All
500,155,1259,All
600,235,1259,All
700,293,1259,All
800,361,1259,All
900,403,1259,All
1000,448,1259,All
1100,497,1259,All
1200,543,1259,All
1300,577,1259,All
1400,602,1259,All
1500,630,1259,All
1600,672,1259,All
1700,677,1259,All
1800,669,1259,All
1900,671,1259,All
2000,682,1259,All
2100,669,1259,All
2200,667,1259,All
2300,643,1259,All
2400,611,1259,All
2500,577,1259,All
2600,544,1259,All
2700,501,1259,All
2800,461,1259,All
2900,402,1259,All
3000,336,1259,All
3100,282,1259,All
3200,215,1259,All
3300,150,1259,All
3400,72,1259,All
400,82,1309,All
500,157,1309,All
600,227,1309,All
700,289,1309,All
800,338,1309,All
900,398,1309,All
1000,449,1309,All
1100,494,1309,All
1200,534,1309,All
1300,592,1309,All
1400,611,1309,All
1500,634,1309,All
1600,666,1309,All
1700,694,1309,All
1800,692,1309,All
1900,700,1309,All
2000,706,1309,All
2100,708,1309,All
2200,693,1309,All
2300,673,1309,All
2400,653,1309,All
2500,622,1309,All
2600,562,1309,All
2700,519,1309,All
2800,487,1309,All
2900,434,1309,All
3000,363,1309,All
3100,297,1309,All
3200,234,1309,All
3300,157,1309,All
3400,82,1309,All
400,87,1359,All
500,170,1359,All
600,253,1359,All
700,343,1359,All
800,402,1359,All
900,451,1359,All
1000,503,1359,All
1100,535,1359,All
1200,578,1359,All
1300,618,1359,All
1400,640,1359,All
1500,674,1359,All
1600,692,1359,All
1700,703,1359,All
1800,703,1359,All
1900,711,1359,All
2000,711,1359,All
2100,708,1359,All
2200,682,1359,All
2300,659,1359,All
2400,627,1359,All
2500,600,1359,All
2600,570,1359,All
2700,531,1359,All
2800,484,1359,All
2900,434,1359,All
3000,388,1359,All
3100,332,1359,All
3200,262,1359,All
3300,178,1359,All
3400,93,1359,All
