elevation,richness,species,site
2600,313,561,Churdhar
2700,285,561,Churdhar
2800,260,561,Churdhar
2900,234,561,Churdhar
3000,207,561,Churdhar
3100,182,561,Churdhar
3200,152,561,Churdhar
3300,134,561,Churdhar
3400,106,561,Churdhar
1700,513,611,Churdhar
1800,528,611,Churdhar
1900,440,611,Churdhar
2000,435,611,Churdhar
2100,430,611,Churdhar
2200,420,611,Churdhar
2300,416,611,Churdhar
2400,388,611,Churdhar
2500,366,611,Churdhar
2600,340,611,Churdhar
2700,312,611,Churdhar
2800,283,611,Churdhar
2900,258,611,Churdhar
3000,227,611,Churdhar
3100,200,611,Churdhar
3200,169,611,Churdhar
3300,147,611,Churdhar
3400,112,611,Churdhar
1700,513,661,Churdhar
1800,538,661,Churdhar
1900,454,661,Churdhar
2000,452,661,Churdhar
2100,451,661,Churdhar
2200,441,661,Churdhar
2300,438,661,Churdhar
2400,412,661,Churdhar
2500,391,661,Churdhar
2600,357,661,Churdhar
2700,336,661,Churdhar
2800,310,661,Churdhar
2900,282,661,Churdhar
3000,249,661,Churdhar
3100,210,661,Churdhar
3200,171,661,Churdhar
3300,147,661,Churdhar
3400,115,661,Churdhar
1700,525,711,Churdhar
1800,556,711,Churdhar
1900,466,711,Churdhar
2000,469,711,Churdhar
2100,467,711,Churdhar
2200,469,711,Churdhar
2300,470,711,Churdhar
2400,446,711,Churdhar
2500,431,711,Churdhar
2600,402,711,Churdhar
2700,372,711,Churdhar
2800,340,711,Churdhar
2900,306,711,Churdhar
3000,269,711,Churdhar
3100,237,711,Churdhar
3200,198,711,Churdhar
3300,164,711,Churdhar
3400,118,711,Churdhar
1700,529,761,Churdhar
1800,560,761,Churdhar
1900,484,761,Churdhar
2000,491,761,Churdhar
2100,496,761,Churdhar
2200,495,761,Churdhar
2300,492,761,Churdhar
2400,461,761,Churdhar
2500,453,761,Churdhar
2600,428,761,Churdhar
2700,396,761,Churdhar
2800,365,761,Churdhar
2900,327,761,Churdhar
3000,289,761,Churdhar
3100,250,761,Churdhar
3200,207,761,Churdhar
3300,173,761,Churdhar
3400,123,761,Churdhar
400,61,959,All
500,94,959,All
600,134,959,All
700,200,959,All
800,261,959,All
900,317,959,All
1000,351,959,All
1100,376,959,All
1200,418,959,All
1300,456,959,All
1400,483,959,All
1500,475,959,All
1600,468,959,All
1700,459,959,All
1800,454,959,All
1900,437,959,All
2000,420,959,All
2100,405,959,All
2200,388,959,All
2300,374,959,All
2400,340,959,All
2500,314,959,All
2600,288,959,All
2700,261,959,All
2800,240,959,All
2900,211,959,All
3000,185,959,All
3100,167,959,All
3200,132,959,All
3300,116,959,All
3400,93,959,All
400,70,1009,All
500,107,1009,All
600,146,1009,All
700,221,1009,All
800,282,1009,All
900,326,1009,All
1000,355,1009,All
1100,391,1009,All
1200,440,1009,All
1300,488,1009,All
1400,511,1009,All
1500,497,1009,All
1600,482,1009,All
1700,473,1009,All
1800,471,1009,All
1900,452,1009,All
2000,436,1009,All
2100,423,1009,All
2200,405,1009,All
2300,389,1009,All
2400,352,1009,All
2500,321,1009,All
2600,294,1009,All
2700,267,1009,All
2800,239,1009,All
2900,212,1009,All
3000,189,1009,All
3100,166,1009,All
3200,135,1009,All
3300,117,1009,All
3400,93,1009,All
400,70,1059,All
500,109,1059,All
600,155,1059,All
700,230,1059,All
800,301,1059,All
900,352,1059,All
1000,388,1059,All
1100,427,1059,All
1200,475,1059,All
1300,513,1059,All
1400,537,1059,All
1500,524,1059,All
1600,505,1059,All
1700,498,1059,All
1800,490,1059,All
1900,468,1059,All
2000,454,1059,All
2100,437,1059,All
2200,420,1059,All
2300,404,1059,All
2400,368,1059,All
2500,336,1059,All
2600,307,1059,All
2700,275,1059,All
2800,247,1059,All
2900,221,1059,All
3000,195,1059,All
3100,171,1059,All
3200,135,1059,All
3300,121,1059,All
3400,97,1059,All
400,77,1109,All
500,114,1109,All
600,160,1109,All
700,240,1109,All
800,311,1109,All
900,366,1109,All
1000,400,1109,All
1100,438,1109,All
1200,491,1109,All
1300,541,1109,All
1400,562,1109,All
1500,551,1109,All
1600,537,1109,All
1700,525,1109,All
1800,517,1109,All
1900,495,1109,All
2000,477,1109,All
2100,461,1109,All
2200,444,1109,All
2300,428,1109,All
2400,387,1109,All
2500,357,1109,All
2600,328,1109,All
2700,298,1109,All
2800,270,1109,All
2900,238,1109,All
3000,212,1109,All
3100,187,1109,All
3200,151,1109,All
3300,132,1109,All
3400,106,1109,All
400,79,1159,All
500,120,1159,All
600,166,1159,All
700,251,1159,All
800,327,1159,All
900,384,1159,All
1000,420,1159,All
1100,460,1159,All
1200,513,1159,All
1300,563,1159,All
1400,588,1159,All
1500,575,1159,All
1600,558,1159,All
1700,547,1159,All
1800,537,1159,All
1900,514,1159,All
2000,497,1159,All
2100,481,1159,All
2200,462,1159,All
2300,446,1159,All
2400,403,1159,All
2500,369,1159,All
2600,339,1159,All
2700,307,1159,All
2800,278,1159,All
2900,246,1159,All
3000,219,1159,All
3100,194,1159,All
3200,157,1159,All
3300,138,1159,All
3400,110,1159,All
400,85,1209,All
500,128,1209,All
600,177,1209,All
700,265,1209,All
800,344,1209,All
900,402,1209,All
1000,440,1209,All
1100,479,1209,All
1200,534,1209,All
1300,584,1209,All
1400,611,1209,All
1500,599,1209,All
1600,583,1209,All
1700,572,1209,All
1800,561,1209,All
1900,537,1209,All
2000,524,1209,All
2100,508,1209,All
2200,490,1209,All
2300,472,1209,All
2400,426,1209,All
2500,391,1209,All
2600,360,1209,All
2700,325,1209,All
2800,297,1209,All
2900,263,1209,All
3000,236,1209,All
3100,209,1209,All
3200,167,1209,All
3300,146,1209,All
3400,116,1209,All
400,87,1259,All
500,133,1259,All
600,185,1259,All
700,277,1259,All
800,355,1259,All
900,421,1259,All
1000,462,1259,All
1100,505,1259,All
1200,562,1259,All
1300,616,1259,All
1400,646,1259,All
1500,634,1259,All
1600,618,1259,All
1700,606,1259,All
1800,598,1259,All
1900,574,1259,All
2000,555,1259,All
2100,537,1259,All
2200,516,1259,All
2300,497,1259,All
2400,450,1259,All
2500,413,1259,All
2600,386,1259,All
2700,349,1259,All
2800,314,1259,All
2900,273,1259,All
3000,242,1259,All
3100,216,1259,All
3200,173,1259,All
3300,148,1259,All
3400,112,1259,All
400,90,1309,All
500,141,1309,All
600,200,1309,All
700,288,1309,All
800,373,1309,All
900,438,1309,All
1000,472,1309,All
1100,514,1309,All
1200,570,1309,All
1300,621,1309,All
1400,652,1309,All
1500,640,1309,All
1600,629,1309,All
1700,620,1309,All
1800,615,1309,All
1900,590,1309,All
2000,571,1309,All
2100,562,1309,All
2200,540,1309,All
2300,525,1309,All
2400,485,1309,All
2500,451,1309,All
2600,413,1309,All
2700,374,1309,All
2800,332,1309,All
2900,288,1309,All
3000,251,1309,All
3100,223,1309,All
3200,182,1309,All
3300,156,1309,All
3400,120,1309,All
400,93,1359,All
500,144,1359,All
600,203,1359,All
700,298,1359,All
800,380,1359,All
900,447,1359,All
1000,492,1359,All
1100,535,1359,All
1200,602,1359,All
1300,662,1359,All
1400,691,1359,All
1500,685,1359,All
