"taxon_name","taxon_authors","LL","UL"
"Hylotelephium ewersii","(Ledeb.) H.Ohba",1850,3600
"Hymenidium brunonis","(DC.) Lindl.",1000,3600
"Hymenidium stellatum","(D.Don) Pimenov & Kljuykov",780.5,3219.5
"Hymenodictyon orixense","(Roxb.) Mabb.",800,900
"Hymenolaena candollei","DC.",1000,3600
"Hypericum choisyanum","Wall. ex N.Robson",1000,2600
"Hypericum dyeri","Rehder",500,2000
"Hypericum elodeoides","Choisy",1200,2300
"Hypericum oblongifolium","Choisy",1100,1900
"Hypericum perforatum","L.",1000,2000
"Hypoxis aurea","Lour.",1630,2030
"Ichnocarpus frutescens","(L.) W.T.Aiton",700,1100
"Ilex dipyrena","Wall.",1200,2200
"Impatiens amplexicaulis","Edgew.",850,2850
"Impatiens arguta","Hook.f. & Thomson",850,2650
"Impatiens balsamina","L.",850,1050
"Impatiens brachycentra","Kar. & Kir.",1500,2400
"Impatiens glandulifera","Royle",1100,2800
"Impatiens glauca","Hook.f. & Thomson",300,3148
"Impatiens laxiflora","Edgew.",1035.5,2864.5
"Impatiens racemosa","DC.",1500,3000
"Impatiens scabrida","DC.",1300,2300
"Impatiens sulcata","Wall.",1200,2900
"Indigofera astragalina","DC.",650,950
"Indigofera atropurpurea","Buch.-Ham. ex Hornem.",300,1800
"Indigofera cassioides","Rottler ex DC.",1225,1525
"Indigofera cordifolia","B.Heyne ex Roth",300,600
"Indigofera dosua","Buch.-Ham. ex D.Don",1400,1600
"Indigofera hebepetala","Benth. ex Baker",600,2600
"Indigofera heterantha","Wall. ex Brandis",1700,1800
"Indigofera linifolia","(L.f.) Retz.",650,850
"Indigofera tsiangiana","Metcalf",300,700
"Ipomoea cairica","(L.) Sweet",300,600
"Ipomoea eriocarpa","R.Br.",700,1100
"Ipomoea hederifolia","L.",700,800
"Ipomoea muricata","(L.) Jacq.",675,825
"Ipomoea pes-tigridis","L.",675,825
"Ipomoea purpurea","(L.) Roth",1375,1625
"Ipomoea quamoclit","L.",890,1110
"Iris decora","Wall.",1400,2600
"Iris kemaonensis","Wall. ex D.Don",2050,2450
"Isodon coetsa","(Buch.-Ham. ex D.Don) Kudô",1675,2075
"Isodon lophanthoides","(Buch.-Ham. ex D.Don) H.Hara",950,1725
"Isodon rugosus","(Wall. ex Benth.) Codd",1100,2000
"Jacaranda mimosifolia","D.Don",500,700
"Jacobaea analoga","(DC.) Veldkamp",1425,2525
"Jacobaea nudicaulis","(Buch.-Ham. ex D.Don) B.Nord.",1950,2050
"Jaeschkea canaliculata","(Royle ex G.Don) Knobl.",600,3600
"Jasminum arborescens","Roxb.",650,850
"Jasminum multiflorum","(Burm.f.) Andrews",700,800
"Jasminum officinale","L.",1300,1700
"Jatropha curcas","L.",950,1050
"Juglans regia","L.",1250,1750
"Juncus bufonius","L.",2235,2335
"Juncus concinnus","D.Don",1700,3500
"Juncus himalensis","Klotzsch",1450,3600
"Juncus thomsonii","Buchenau",1250,3600
"Jurinea auriculata","(DC.) N.Garcia, Herrando & Susanna",1360.5,3189.5
"Jurinea heteromalla","(D.Don) N.Garcia, Herrando & Susanna",1800,2200
"Justicia adhatoda","L.",850,950
"Kalanchoe integra","(Medik.) Kuntze",462,1062
"Kalanchoe pinnata","(Lam.) Pers.",600,900
"Klasea pallida","(DC.) Holub",1350,1750
"Koeleria spicata","(L.) Barberá, Quintanar, Soreng & P.M.Peterson",1550,3600
"Koenigia delicatula","(Meisn.) H.Hara",900,3500
"Koenigia filicaulis","(Wall. ex Meisn.) Hedberg",1450,3450
"Koenigia mollis","(D.Don) T.M.Schust. & Reveal",1750,2250
"Koenigia polystachya","(Wall. ex Meisn.) T.M.Schust. & Reveal",1250,3250
"Koenigia rumicifolia","(Royle ex Bab.) T.M.Schust. & Reveal",700,3600
"Kohautia coccinea","Royle",1150,1550
"Kydia calycina","Roxb.",650,750
"Lamium album","L.",1250,2750
"Lannea coromandelica","(Houtt.) Merr.",950,1050
"Lantana camara","L.",893.5,1106.5
"Lathraea squamaria","L.",300,2750
"Lathyrus aphaca","L.",1050,1150
"Lathyrus emodi","(Wall. ex Fritsch) Fritsch ex T.Durand & B.D.Jacks.",500,2500
"Lathyrus sativus","L.",650,850
"Lathyrus sphaericus","Retz.",1050,1450
"Launaea procumbens","(Roxb.) Ramayya & Rajagopal",500,1500
"Lawsonia inermis","L.",300,700
"Lecanthus peduncularis","(Royle) Wedd.",1400,1800
"Leea asiatica","(L.) Ridsdale",925,1075
"Leonurus cardiaca","L.",900,2700
"Lepidagathis cuspidata","Nees",893.5,1106.5
"Lepidagathis incurva","Buch.-Ham. ex D.Don",775,875
"Lepidagathis purpuricaulis","Nees",610,914
"Lepidium didymum","L.",950,1050
"Lepidium sativum","L.",1400,1600
"Leptodermis lanceolata","Wall.",1250,2250
"Leptodesmia microphylla","(Thunb.) H.Ohashi & K.Ohashi",1300,1400
"Leptopus cordifolius","Decne.",1150,1450
"Leptorhabdos parviflora","(Benth.) Benth.",800,2500
"Lepyrodiclis holosteoides","(C.A.Mey.) Fenzl ex Fisch. & C.A.Mey.",527.5,3572.5
"Lespedeza gerardiana","Wall. ex Maxim.",1075,2575
"Lespedeza juncea","(L.f.) Pers.",1300,1700
"Leucaena leucocephala","(Lam.) de Wit",600,1000
"Leucanthemum vulgare","Lam.",800,2200
"Leucas cephalotes","(Roth) Spreng.",1125,1275
"Leucas decemdentata","(Willd.) Sm.",1450,1550
"Leucas lanata","Benth.",1300,1700
"Leucomeris spectabilis","D.Don",714.5,1114.5
"Leucosyke puya","(Hook.) den Baaker & Mabb.",712,812
"Leycesteria formosa","Wall.",1329,2329
"Ligularia amplexicaulis","DC.",750,3600
"Ligusticopsis wallichiana","(DC.) Pimenov & Kljuykov",1050,2950
"Lindelofia longiflora","(DC.) Baill.",900,3600
"Lindenbergia indica","(L.) Vatke",400,2150
"Lindenbergia macrostachya","(Benth.) Benth.",800,1200
"Liparis odorata","(Willd.) Lindl.",1200,1300
"Litsea glutinosa","(Lour.) C.B.Rob.",775,925
"Litsea monopetala","(Roxb.) Pers.",850,950
"Lobelia heyneana","Schult.",1050,1450
"Lolium temulentum","L.",950,1350
"Lonicera acuminata","Wall.",1350,3150
"Lonicera angustifolia","Wall. ex DC.",1350,3150
"Lonicera asperifolia","(Decne.) Hook.f. & Thomson",1000,3500
"Lonicera hypoleuca","Decne.",728.5,3471.5
"Lonicera obovata","Royle ex Hook.f. & Thomson",900,3600
"Lonicera quinquelocularis","Hardw.",1350,2150
"Lonicera webbiana","Wall. ex DC.",1150,3350
"Luffa acutangula","(L.) Roxb.",450,550
"Lyonia ovalifolia","(Wall.) Drude",1453,2053
"Lysimachia arvensis","(L.) U.Manns & Anderb.",1250,1450
"Lysimachia chenopodioides","Watt ex Hook.f.",650,2450
"Machilus duthiei","King ex Hook.f.",1250,1750
"Machilus odoratissima","Nees",1300,1400
"Madhuca longifolia","(J.Koenig ex L.) J.F.Macbr.",425,575
"Maianthemum purpureum","(Wall.) LaFrankie",935,3335
"Malaxis muscifera","(Lindl.) Kuntze",1400,2900
"Mallotus philippensis","(Lam.) Müll.Arg.",825,975
"Malva neglecta","Wallr.",900,2100
"Malva parviflora","L.",1650,1850
"Malva verticillata","L.",1000,2200
"Malvastrum coromandelianum","(L.) Garcke",400,800
"Mangifera indica","L.",475,775
"Marsdenia roylei","Wight",800,3050
"Martynia annua","L.",1100,1400
"Mazus pumilus","(Burm.f.) Steenis",1250,1450
"Mazus surculosus","D.Don",1325,1725
"Meconopsis aculeata","Royle",750,3600
"Medicago lupulina","L.",1800,2200
"Medicago monantha","(C.A.Mey.) Trautv.",875,1125
"Medicago polymorpha","L.",798,1102
"Melaleuca viminalis","(Sol. ex Gaertn.) Byrnes",550,950
"Melanoseris brunoniana","(Wall. ex DC.) N.Kilian & Ze H.Wang",900,2900
"Melanoseris macrorhiza","(Royle) N.Kilian",1250,2750
"Melia azedarach","L.",1110,1210
"Melilotus indicus","(L.) All.",1675,1925
"Meliosma dilleniifolia","(Wall. ex Wight & Arn.) Walp.",750,2250
"Melochia corchorifolia","L.",650,850
"Mentha longifolia","(L.) L.",2050,2450
"Merremia hederacea","(Burm.f.) Hallier f.",450,550
"Mesosphaerum suaveolens","(L.) Kuntze",925,1075
"Mesostemma latifolium","(Benth. ex G.Don) Ikonn.",1050,2650
"Micranthes pallida","(Wall. ex Ser.) Losinsk.",900,3600
"Micromeria biflora","(Buch.-Ham. ex D.Don) Benth.",2300,2700
"Milium effusum","L.",300,2700
"Miliusa velutina","(DC.) Hook.f. & Thomson",382,532
"Millettia extensa","(Benth.) Benth. ex Baker",700,800
"Mimosa pudica","L.",700,800
"Mimosa rubicaulis","Lam.",1088,1392
"Mirabilis jalapa","L.",850,1150
"Mitragyna parvifolia","(Roxb.) Korth.",425,575
"Momordica charantia","L.",950,1150
"Morina longifolia","Wall. ex DC.",950,3250
"Moringa oleifera","Lam.",550,650
"Morus alba","L.",1200,1300
"Mucuna pruriens","(L.) DC.",600,700
"Muhlenbergia himalayensis","Hack. ex Hook.f.",1080,2580
"Murdannia divergens","(C.B.Clarke) G.Brückn.",1005,1505
"Murdannia nudiflora","(L.) Brenan",1150,1250
"Musa × paradisiaca","L.",400,800
"Myosotis sylvatica","Ehrh. ex Hoffm.",1000,3000
"Myriactis nepalensis","Less.",1600,2300
"Myrica esculenta","Buch.-Ham. ex D.Don",700,1600
"Myrsine africana","L.",1150,1550
"Myrsine semiserrata","Wall.",1100,1600
"Nanorrhinum ramosissimum","(Wall.) Betsche",1100,1500
"Naringi crenulata","(Roxb.) Nicolson",300,700
"Neolitsea cuipala","(D.Don) Kosterm.",800,1800
"Neolitsea pallens","(D.Don) Momiy. & H.Hara",500,3000
"Neottia listeroides","Lindl.",800,2800
"Nepeta ciliaris","Benth.",1800,2200
"Nepeta connata","Royle ex Benth.",750,2850
"Nepeta erecta","(Royle ex Benth.) Benth.",1000,3000
"Nepeta hindostana","(B.Heyne ex Roth) Haines",1500,1900
"Nepeta laevigata","(D.Don) Hand.-Mazz.",2300,2700
"Nepeta podostachys","Benth.",800,3500
"Nerium oleander","L.",950,1050
"Nicandra physalodes","(L.) Gaertn.",925,1675
"Nicotiana plumbaginifolia","Viv.",900,1300
"Nicotiana rustica","L.",300,1400
"Nicotiana tabacum","L.",1200,1300
"Nidorella aegyptiaca","(L.) J.C.Manning & Goldblatt",350,1850
"Noccaea cochleariformis","(DC.) Á.Löve & D.Löve",2150,3600
"Nyctanthes arbor-tristis","L.",650,850
"Ocimum americanum","L.",400,800
"Ocimum gratissimum","L.",400,800
"Ocimum tenuiflorum","L.",800,1200
"Oenothera rosea","L'Hér. ex Aiton",1200,1300
"Oldenlandia corymbosa","L.",1200,1400
"Ophiopogon intermedius","D.Don",1545,2455
"Oplismenus burmanni","(Retz.) P.Beauv.",1045,1245
"Oplismenus compositus","(L.) P.Beauv.",1350,1650
"Oplismenus undulatifolius","(Ard.) P.Beauv.",650,2150
"Opuntia elatior","Mill.",300,1580
"Oreoseris gossypina","(Royle) X.D.Xu & V.A.Funk",1500,1900
"Origanum vulgare","L.",1700,2300
"Orobanche alba","Stephan ex Willd.",850,2550
"Oroxylum indicum","(L.) Kurz",662.5,862.5
"Osyris lanceolata","Hochst. & Steud.",1100,1500
"Ototropis multiflora","(DC.) H.Ohashi & K.Ohashi",1325,1425
"Ougeinia oojeinensis","(Roxb.) Hochr.",610,914
"Ouret sanguinolenta","(L.) Kuntze",825,975
"Oxalis corniculata","L.",1375,1625
"Oxalis debilis","Kunth",1125,1375
"Oxalis dehradunensis","Raizada",550,950
"Oxyria digyna","(L.) Hill",1300,3600
"Papaver dubium","L.",1198,1502
"Paris polyphylla","Sm.",1350,2650
"Parnassia nubicola","Wall. ex Royle",1400,3000
"Parthenium hysterophorus","L.",950,1050
"Parthenocissus semicordata","(Wall.) Planch.",915,2285
"Pedicularis bicornuta","Klotzsch",650,3350
"Pedicularis bifida","(Buch.-Ham. ex D.Don) Pennell",2000,3000
"Pedicularis gracilis","Wall. ex Benth.",1200,3000
"Pedicularis hoffmeisteri","Klotzsch",750,3250
"Pedicularis longiflora","Rudolph",1530,3600
"Pedicularis pectinata","Wall. ex Benth.",1150,2850
"Pedicularis punctata","Decne.",800,3200
"Pedicularis pyramidata","Royle ex Benth.",1200,3300
"Pedicularis siphonantha","D.Don",750,3600
"Pentanema divaricatum","Cass.",459.5,759.5
"Pergularia daemia","(Forssk.) Chiov.",450,550
"Persicaria capitata","(Buch.-Ham. ex D.Don) H.Gross",1400,1900
"Persicaria hydropiper","(L.) Delarbre",1325,1425
"Persicaria nepalensis","(Meisn.) H.Gross",1950,2150
"Persicaria posumbu","(Buch.-Ham. ex D.Don) H.Gross",1450,1550
"Persicaria pubescens","(Blume) H.Hara",1300,1635
"Phacelurus speciosus","(Steud.) C.E.Hubb.",950,2550
"Phalaris minor","Retz.",950,1350
"Phanera roxburghiana","(Voigt) Bandyop., Anand Kumar & Chakrab.",598,902
"Phanera vahlii","(Wight & Arn.) Benth.",1450,1550
"Phleum alpinum","L.",2000,2500
"Phleum himalaicum","Mez",1350,2350
"Phlogacanthus thyrsiformis","(Roxb. ex Hardw.) Mabb.",800,1000
"Phlomoides bracteosa","(Royle ex Benth.) Kamelin & Makhm.",1650,2850
"Phlomoides macrophylla","(Benth.) Kamelin & Makhm.",1350,3600
"Phoenix acaulis","Roxb.",643.5,856.5
"Phoenix sylvestris","(L.) Roxb.",850,1000
"Phragmites karka","(Retz.) Trin. ex Steud.",1050,1200
"Phyllanthus emblica","L.",950,1050
"Phyllanthus fraternus","G.L.Webster",700,1100
"Phyllanthus urinaria","L.",1100,1300
"Phyllodium pulchellum","(L.) Desv.",550,650
"Physalis angulata","L.",700,1100
"Phytolacca acinosa","Roxb.",1150,2050
"Picea smithiana","(Wall.) Boiss.",885.5,2714.5
"Picrorhiza kurroa","Royle ex Benth.",1100,3100
"Pilea scripta","(Buch.-Ham. ex D.Don) Wedd.",1450,1550
"Pilea umbrosa","Wedd. ex Blume",1150,2150
"Pimpinella diversifolia","DC.",2000,2200
"Pinus roxburghii","Sarg.",1100,1700
"Pinus wallichiana","A.B.Jacks.",1200,2900
"Piptanthus nepalensis","(Hook.) Sweet",1695.5,2304.5
"Pistacia chinensis","Bunge",1200,1300
"Pistacia khinjuk","Stocks",1050,1450
"Plantago depressa","Willd.",1400,2800
"Plantago lanceolata","L.",1300,1700
"Pleurolobus gangeticus","(L.) J.St.-Hil. ex H.Ohashi & K.Ohashi",950,1050
"Plumbago zeylanica","L.",1200,1300
"Poa alpina","L.",1250,3250
"Poa annua","L.",2020,2420
"Poa nemoralis","L.",1250,3250
"Poa stapfiana","Bor",1050,3050
"Podophyllum hexandrum","Royle",1250,3250
"Pogostemon benghalensis","(Burm.f.) Kuntze",825,975
"Polemonium caeruleum","L.",900,3600
"Polygala abyssinica","R.Br. ex Fresen.",1550,1950
"Polygala arvensis","Willd.",700,1100
"Polygala crotalarioides","Buch.-Ham. ex DC.",1300,1700
"Polygala erioptera","DC.",800,1200
"Polygala persicariifolia","DC.",1050,1450
"Polygala tatarinowii","Regel",1800,2200
"Polygonatum cirrhifolium","(Wall.) Royle",1550,3050
"Polygonatum geminiflorum","Decne.",700,3300
"Polygonatum verticillatum","(L.) All.",1600,3100
"Polygonum aviculare","L.",1750,2750
"Polygonum paronychioides","C.A.Mey.",800,3000
"Polygonum plebeium","R.Br.",1200,1300
"Polypogon monspeliensis","(L.) Desf.",1935,2335
"Pongamia pinnata","(L.) Pierre",300,650
"Populus ciliata","Wall. ex Royle",1750,1850
"Poranopsis paniculata","(Roxb.) Roberty",900,1000
"Portulaca oleracea","L.",900,1100
"Potentilla atrosanguinea","G.Lodd.",2000,3600
"Potentilla eriocarpa","Wall. ex Lehm.",2800,3600
"Potentilla gerardiana","Lindl. ex Lehm.",1250,2250
"Potentilla indica","(Andrews) Th.Wolf",2010,2410
"Potentilla nepalensis","Hook.",1750,3250
"Potentilla sundaica","(Blume) W.Theob.",950,1700
"Potentilla supina","L.",1550,1850
"Pouzolzia rugulosa","(Wedd.) Acharya & Kravtsova",1150,1250
"Primula denticulata","Sm.",1700,3200
"Primula petiolaris","Wall.",1000,3000
"Primula reidii","Duthie",1050,3550
"Prinsepia utilis","Royle",993,1907
"Prosopis juliflora","(Sw.) DC.",300,550
"Prunella vulgaris","L.",1380,2580
"Prunus cerasoides","Buch.-Ham. ex D.Don",1250,1850
"Prunus cornuta","(Wall. ex Royle) Steud.",1000,2500
"Pseudocaryopteris bicolor","(Roxb. ex Hardw.) P.D.Cantino",1000,1100
"Pseudoconyza viscosa","(Mill.) D'Arcy",400,500
"Pseudognaphalium hypoleucum","(DC.) Hilliard & B.L.Burtt",1575,1775
"Pseudognaphalium luteoalbum","(L.) Hilliard & B.L.Burtt",1050,1450
"Psidium guajava","L.",788,888
"Pueraria tuberosa","(Roxb. ex Willd.) DC.",700,800
"Punica granatum","L.",1243.5,1456.5
"Pupalia lappacea","(L.) Juss.",1245.5,1345.5
"Putranjiva roxburghii","Wall.",400,500
"Pyracantha crenulata","(D.Don) M.Roem.",995.5,1604.5
"Pyrus pashia","Buch.-Ham. ex D.Don",1300,1700
"Quercus floribunda","Lindl. ex A.Camus",450,2664.5
"Quercus glauca","Thunb.",1325,1775
"Quercus leucotrichophora","A.Camus",850,1650
"Quercus semecarpifolia","Sm.",1150,2850
"Ranunculus adoxifolius","Hand.-Mazz.",650,3600
"Ranunculus arvensis","L.",1050,1450
"Ranunculus diffusus","DC.",1550,2450
"Ranunculus distans","D.Don",2300,2700
"Ranunculus hirtellus","Royle",1850,3600
"Ranunculus pulchellus","Ledeb. ex Spreng.",1441,3600
"Ranunculus sceleratus","L.",848,1152
"Ranunculus trichophyllus","Chaix",2400,2800
"Raphanus raphanistrum","L.",1598,1902
"Rauvolfia serpentina","(L.) Benth. ex Kurz",700,800
"Reinwardtia indica","Dumort.",1100,1400
"Remusatia pumila","(D.Don) H.Li & A.Hay",1400,1800
"Remusatia vivipara","(Roxb.) Schott",745,1355
"Rhamnus purpurea","Edgew.",1250,2250
"Rhamnus triquetra","(Wall.) Brandis",867,1267
"Rhamnus virgata","Roxb.",1500,2100
"Rheum moorcroftianum","Royle",500,3600
"Rheum webbianum","Royle",1400,3600
"Rhodiola heterodonta","(Hook.f. & Thomson) Boriss.",1250,3600
"Rhodiola sinuata","(Royle ex Edgew.) S.H.Fu",1400,2600
"Rhodiola tibetica","(Hook.f. & Thomson) S.H.Fu",1000,3600
"Rhodiola wallichiana","(Hook.) S.H.Fu",1500,3000
"Rhododendron anthopogon","D.Don",1350,3600
"Rhododendron arboreum","Sm.",1200,2400
"Rhododendron campanulatum","D.Don",913.5,3600
"Rhododendron lepidotum","Wall. ex G.Don",1300,3400
"Rhus chinensis","Mill.",1175,1825
"Rhynchosia minima","(L.) DC.",750,1150
"Rhynchosia rothii","Benth. ex Aitch.",700,1100
"Ribes alpestre","Wall. ex Decne.",900,3100
"Ribes glaciale","Wall.",1250,3150
"Ribes himalense","Royle ex Decne.",750,3150
"Ribes orientale","Desf.",850,2950
"Ricinus communis","L.",1425,1575
"Robinia pseudoacacia","L.",800,1600
"Rosa macrophylla","Lindl.",1250,2750
"Rosa moschata","Herrm.",995.5,1595.5
"Rosa sericea","Lindl.",1690,2910
"Roscoea alpina","Royle",900,3100
"Roscoea purpurea","Sm.",1050,2050
"Rostellularia mollissima","(Nees) Nees",600,900
"Rostellularia procumbens","(L.) Nees",1200,1300
"Rostellularia quinqueangularis","(J.Koenig ex Roxb.) Nees",500,700
"Rosularia adenotricha","(Wall. ex Edgew.) C.-A.Jansson",1000,2000
"Rosularia rosulata","(Edgew.) H.Ohba",750,2250
"Rotala rotundifolia","(Buch.-Ham. ex Roxb.) Koehne",1300,1400
"Roylea cinerea","(D.Don) Baill.",1600,2100
"Rubia cordifolia","L.",1619,2381
"Rubus biflorus","Buch.-Ham. ex Sm.",759.5,2740.5
"Rubus ellipticus","Sm.",1050,1450
"Rubus niveus","Thunb.",1603,1903
"Rubus paniculatus","Sm.",1450,1650
"Ruellia prostrata","Poir.",400,800
"Rumex acetosa","L.",1550,2550
"Rumex dentatus","L.",1200,1500
"Rumex hastatus","D.Don",1100,1500
"Rumex nepalensis","Spreng.",1650,2550
"Rungia pectinata","(L.) Nees",890,1110
"Saccharum spontaneum","L.",950,1050
"Salix alba","L.",400,1600
"Salix denticulata","Andersson",1200,2800
"Salix flabellaris","Andersson",1000,3600
"Salix lindleyana","Wall. ex Andersson",1000,3600
"Salvia cana","Wall. ex Benth.",1100,1900
"Salvia nubicola","Wall. ex Sweet",1300,3000
"Salvia plebeia","R.Br.",677.5,847.5
"Salvia strobilifera","(Benth.) J.G.González",500,1500
"Santalum album","L.",300,650
"Sapindus mukorossi","Gaertn.",948,1252
"Sarcococca coriacea","(Hook.) Sweet",1450,2050
"Satyrium nepalense","D.Don",2000,2600
"Sauromatum venosum","(Dryand. ex Aiton) Kunth",1050,1450
"Saussurea candolleana","(DC.) Sch.Bip.",1200,3200
"Saussurea piptathera","Edgew.",500,3500
"Saussurea taraxacifolia","(Lindl. ex Royle) Wall. ex DC.",1300,3600
"Saxifraga brunonis","Wall. ex Ser.",1733,3600
"Saxifraga diversifolia","Wall. ex Ser.",1400,3400
"Saxifraga moorcroftiana","(Ser.) Wall. ex Sternb.",1250,3600
"Saxifraga parnassifolia","D.Don",1800,3600
"Saxifraga sibirica","L.",1000,3600
"Schisandra grandiflora","(Wall.) Hook.f. & Thomson",1250,2850
"Schizotechium monospermum","(Buch.-Ham. ex D.Don) Pusalkar & S.K.Srivast.",1400,2600
"Schleichera oleosa","(Lour.) Oken",1150,1350
"Schoenoplectiella juncoides","(Roxb.) Lye",1300,1400
"Schoenoplectus lacustris","(L.) Palla",400,400
"Scoparia dulcis","L.",1100,1200
"Scurrula cordifolia","(Wall.) G.Don",800,1200
"Scutellaria grossa","Wall.",950,2150
"Scutellaria repens","Buch.-Ham. ex D.Don",750,1350
"Scutellaria scandens","D.Don",900,1700
"Searsia parviflora","(Roxb.) F.A.Barkley",1100,1500
"Selinum vaginatum","(Edgew.) C.B.Clarke",1250,3250
"Senegalia catechu","(L.f.) P.J.H.Hurter & Mabb.",700,800
"Senegalia modesta","(Wall.) P.J.H.Hurter",550,950
"Senegalia pennata","(L.) Maslin",700,800
"Senegalia torta","(Roxb.) Maslin, Seigler & Ebinger",550,650
"Senna occidentalis","(L.) Link",800,1000
"Senna tora","(L.) Roxb.",750,850
"Sesamum indicum","L.",1000,1400
"Setaria flavida","(Retz.) Veldkamp",700,800
"Setaria intermedia","Roem. & Schult.",700,1100
"Setaria palmifolia","(J.Koenig) Stapf",1325,1525
"Setaria pumila","(Poir.) Roem. & Schult.",1300,1400
"Setaria verticillata","(L.) P.Beauv.",750,1050
"Setaria viridis","(L.) P.Beauv.",1400,2400
"Shorea robusta","C.F.Gaertn.",700,800
"Shuteria involucrata","(Wall.) Wight & Arn. ex Walp.",1300,1500
"Sibbaldia cuneata","Edgew.",1500,3000
"Sibirotrisetum aeneum","(Hook.f.) Barberá",1250,3050
"Sida acuta","Burm.f.",1250,1450
"Sida cordata","(Burm.f.) Borss.Waalk.",1068,1372
"Sida cordifolia","L.",1440,1560
"Sida rhombifolia","L.",950,1050
"Sigesbeckia orientalis","L.",1200,1500
"Silene conoidea","L.",1350,1750
"Silene indica","Roxb. ex Otth",1250,3250
"Silene laxantha","Majumdar",457.5,3200.5
"Silene viscosa","(L.) Pers.",750,3250
"Silene vulgaris","(Moench) Garcke",1138,2662
"Sisymbrium irio","L.",1050,1450
"Skimmia laureola","(DC.) Decne.",900,2600
"Smilax aspera","L.",1480,1720
"Smilax elegans","Wall. ex Kunth",1176.5,2176.5
"Smilax vaginata","Decne.",900,2600
"Smilax zeylanica","L.",675,825
"Smithia ciliata","Royle",1350,1450
"Sohmaea laxiflora","(DC.) H.Ohashi & K.Ohashi",1100,1300
"Solanum americanum","Mill.",1350,1550
"Solanum erianthum","D.Don",950,1150
"Solanum incanum","L.",643.5,856.5
"Solanum pseudocapsicum","L.",1200,1600
"Solanum viarum","Dunal",1250,1350
"Solanum violaceum","Ortega",655.5,868.5
"Solanum virginianum","L.",550,1050
"Solena amplexicaulis","(Lam.) Gandhi",1200,1300
"Sonchus asper","(L.) Hill",2450,2550
"Sonchus brachyotus","DC.",1050,1450
"Sonchus oleraceus","L.",1550,1950
"Sonchus wightianus","DC.",1200,1300
"Sophora mollis","(Royle) Graham ex Baker",621.5,1078.5
"Sopubia trifida","Buch.-Ham. ex D.Don",1150,2350
"Sorbaria tomentosa","(Lindl.) Rehder",1079,2579
"Sorbus foliolosa","(Wall.) Spach",1300,2800
"Sorbus microphylla","(Wall. ex Hook.f.) Wenz.",750,3600
"Sorghum halepense","(L.) Pers.",300,950
"Spergula arvensis","L.",1175,1275
"Spermacoce articularis","L.f.",534.5,684.5
"Spermacoce pusilla","Wall.",2200,2300
"Spermadictyon suaveolens","Roxb.",1000,1400
"Spiraea canescens","D.Don",1250,2750
"Spiraea vacciniifolia","D.Don",714.5,2085.5
"Spiranthes spiralis","(L.) Chevall.",500,2000
"Spondias pinnata","(L.f.) Kurz",607.5,892.5
"Sporobolus diandrus","(Retz.) P.Beauv.",1200,1300
"Sporobolus fertilis","(Steud.) Clayton",1280,1580
"Stachys splendens","Wall. ex Benth.",1250,2750
"Staphylea emodi","Wall. ex Brandis",600,2400
"Stellaria aquatica","(L.) Scop.",1200,3500
"Stellaria media","(L.) Vill.",1272.5,1672.5
"Stephania rotunda","Lour.",1200,1300
"Sterculia villosa","Roxb. ex Sm.",700,800
"Stereospermum chelonoides","(L.f.) DC.",675,825
"Streblus asper","Lour.",950,1050
"Strobilanthes atropurpurea","Nees",1000,2500
"Strobilanthes pavala","(Roxb.) J.R.I.Wood",400,900
"Strobilanthes tomentosa","(Nees) J.R.I.Wood",1050,1350
"Strobilanthes wallichii","Nees",1730,2230
"Sunhangia elegans","(DC.) H.Ohashi & K.Ohashi",1700,1800
"Swertia alata","(D.Don ex G.Don) Royle ex C.B.Clarke",1650,2350
"Swertia alternifolia","Royle",500,3500
"Swertia angustifolia","Buch.-Ham. ex D.Don",1300,1500
"Swertia chirayita","(Roxb.) H.Karst.",900,2100
"Swertia cordata","(G.Don) Wall. ex C.B.Clarke",1000,2500
"Swertia cuneata","D.Don",1000,3600
"Swertia paniculata","Wall.",1250,2750
"Swertia purpurascens","(D.Don) C.B.Clarke",1000,3000
"Swertia speciosa","D.Don",733.5,3533.5
"Swertia tetragona","Edgew.",750,2550
"Symplocos paniculata","(Thunb.) Miq.",1000,2000
"Synotis alata","(Wall. ex DC.) C.Jeffrey & Y.L.Chen",1075,2925
"Synotis cappa","(Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen",1200,1700
"Synotis kunthiana","(Wall. ex DC.) C.Jeffrey & Y.L.Chen",800,3300
"Synotis rufinervis","(DC.) C.Jeffrey & Y.L.Chen",1000,3000
"Syringa emodi","Wall. ex Royle",800,2800
"Syzygium cumini","(L.) Skeels",690,890
"Tabernaemontana divaricata","(L.) R.Br. ex Roem. & Schult.",750,850
"Tagetes minuta","L.",1250,1350
"Tamarindus indica","L.",400,600
"Taraxacum campylodes","G.E.Haglund",2200,2300
"Taxus wallichiana","Zucc.",850,2650
"Tectona grandis","L.f.",550,650
"Tephrosia purpurea","(L.) Pers.",675,825
"Tephrosia strigosa","(Dalzell) Santapau & Maheshw.",300,600
"Terminalia anogeissiana","Gere & Boatwr.",503,716
"Terminalia arjuna","(Roxb. ex DC.) Wight & Arn.",300,850
"Terminalia bellirica","(Gaertn.) Roxb.",750,950
"Terminalia chebula","Retz.",940.5,1040.5
