"taxon_name","taxon_authors","LL","UL"
"Bidens pilosa","L.",1450,1550
"Bidens tripartita","L.",1650,1750
"Bistorta affinis","(D.Don) Greene",650,3600
"Bistorta amplexicaulis","(D.Don) Greene",1900,2900
"Bistorta emodi","(Meisn.) H.Hara",780.5,3219.5
"Bistorta vivipara","(L.) Delarbre",1050,3600
"Blainvillea acmella","(L.) Philipson",700,1000
"Blepharis maderaspatensis","(L.) B.Heyne ex Roth",550,950
"Blumea axillaris","(Lam.) DC.",1125,1325
"Blumea lacera","(Burm.f.) DC.",635.5,735.5
"Blumea sinuata","(Lour.) Merr.",300,700
"Boehmeria penduliflora","Wedd. ex D.G.Long",1200,1300
"Boenninghausenia albiflora","(Hook.) Rchb. ex Meisn.",1450,1850
"Boerhavia diffusa","L.",1000,1200
"Bombax ceiba","L.",712,812
"Bonnaya ciliata","(Colsm.) Spreng.",700,800
"Boswellia serrata","Roxb.",1050,1150
"Bothriochloa pertusa","(L.) A.Camus",1800,2000
"Brachycorythis obcordata","(Lindl. ex Wall.) Summerh.",750,1250
"Brachypodium sylvaticum","(Huds.) P.Beauv.",1360,2910
"Brassica rapa","L.",1700,2100
"Bridelia retusa","(L.) A.Juss.",775,875
"Bromus japonicus","Houtt.",1000,3000
"Broussonetia papyrifera","(L.) L'Hér. ex Vent.",850,1350
"Buchanania cochinchinensis","(Lour.) M.R.Almeida",925,1075
"Buchnera hispida","Buch.-Ham. ex D.Don",700,1700
"Buddleja asiatica","Lour.",1350,1450
"Buddleja crispa","Benth.",1700,2700
"Bupleurum aitchisonii","(Boiss.) H.Wolff",500,3000
"Bupleurum candollei","Wall. ex DC.",1150,2850
"Bupleurum gracillimum","Klotzsch",600,3400
"Bupleurum hamiltonii","N.P.Balakr.",1350,1850
"Bupleurum lanceolatum","Wall. ex DC.",1050,2450
"Bupleurum longicaule","Wall. ex DC.",1450,3450
"Bupleurum maddenii","C.B.Clarke",300,2950
"Bupleurum marginatum","Wall. ex DC.",1866.5,2933.5
"Butea monosperma","(Lam.) Kuntze",700,800
"Buxus wallichiana","Baill.",550,2350
"Caesalpinia pulcherrima","(L.) Sw.",350,650
"Cajanus scarabaeoides","(L.) Thouars",1300,1400
"Calamagrostis emodensis","Griseb.",1500,3000
"Calamagrostis pseudophragmites","(Haller f.) Koeler",2150,2450
"Calanthe tricarinata","Lindl.",1350,2650
"Callicarpa macrophylla","Vahl",950,1050
"Calotropis gigantea","(L.) W.T.Aiton",450,550
"Calotropis procera","(Aiton) W.T.Aiton",400,500
"Caltha palustris","L.",1600,3400
"Calyptocarpus vialis","Less.",400,800
"Campanula argyrotricha","Wall. ex A.DC.",1130.5,3569.5
"Campanula dimorphantha","Schweinf.",1200,1500
"Campanula latifolia","L.",900,2900
"Campanula pallida","Wall.",1950,2550
"Campylotropis macrostyla","(D.Don) Lindl. ex Miq.",1125,1525
"Cannabis sativa","L.",1400,1600
"Capillipedium assimile","(Steud.) A.Camus",1030,1270
"Capillipedium parviflorum","(R.Br.) Stapf",1250,1450
"Capparis decidua","(Forssk.) Edgew.",300,475
"Capparis sepiaria","L.",300,700
"Capparis spinosa","L.",1372.5,1572.5
"Capparis zeylanica","L.",425,575
"Capsella bursa-pastoris","(L.) Medik.",2050,2450
"Caragana brevispina","Benth.",750,2450
"Cardamine hirsuta","L.",1400,1800
"Cardamine impatiens","L.",1750,2250
"Cardamine macrophylla","Willd.",2000,2500
"Cardiocrinum giganteum","(Wall.) Makino",1230,2430
"Cardiospermum halicacabum","L.",1025,1175
"Carex capillifolia","(Decne.) S.R.Zhang",1900,3100
"Carex clavispica","S.R.Zhang",1450,3600
"Carex filicina","Nees",1695,2305
"Carex haematostoma","Nees",1115,3600
"Carex nivalis","Boott",1250,3600
"Carex nubigena","D.Don",1635,2635
"Carex obscura","Nees",1300,3000
"Carex parvula","O.Yano",2250,3350
"Carex pseudolaxa","(C.B.Clarke) O.Yano & S.R.Zhang",1400,3100
"Carex remota","L.",750,2450
"Carex unciniiformis","Boeckeler",1400,3600
"Carex wallichiana","Spreng.",1000,2500
"Carica papaya","L.",550,650
"Carissa spinarum","L.",850,950
"Carpesium abrotanoides","L.",1650,1750
"Carpesium cernuum","L.",750,2250
"Carpinus viminea","Lindl. ex Wall.",1700,1800
"Cascabela thevetia","(L.) Lippold",685,815
"Casearia graveolens","Dalzell",925,1075
"Casearia tomentosa","Roxb.",1150,1350
"Cassia fistula","L.",700,800
"Cassine albens","(Retz.) Kosterm.",300,650
"Cassiope fastigiata","(Wall.) D.Don",1100,3600
"Catharanthus roseus","(L.) G.Don",700,800
"Catunaregam spinosa","(Thunb.) Tirveng.",400,1500
"Causonis trifolia","(L.) Mabb. & J.Wen",700,800
"Cautleya spicata","(Sm.) Baker",950,2050
"Cedrus deodara","(Roxb. ex D.Don) G.Don",926.5,2426.5
"Celastrus paniculatus","Willd.",1185,1335
"Celosia argentea","L.",1050,1150
"Celtis tetrandra","Roxb.",1348,1652
"Cenchrus americanus","(L.) Morrone",1300,1400
"Cenchrus ciliaris","L.",400,800
"Cenchrus setigerus","Vahl",300,700
"Centella asiatica","(L.) Urb.",1100,1400
"Cephalanthera longifolia","(L.) Fritsch",1150,2350
"Cestrum nocturnum","L.",700,1100
"Chaerophyllum reflexum","Lindl.",988,2512
"Chaerophyllum villosum","Wall. ex DC.",950,2650
"Chamaecrista absus","(L.) H.S.Irwin & Barneby",648,952
"Chamaecrista mimosoides","(L.) Greene",1200,1300
"Chamaecrista nomame","(Makino) H.Ohashi",985,1385
"Chenopodiastrum murale","(L.) S.Fuentes, Uotila & Borsch",650,1050
"Chenopodium album","L.",2350,2650
"Chionanthus ramiflorus","Roxb.",950,1050
"Chrysojasminum humile","(L.) Banfi",1350,2350
